,mu,gamma,loc,total_num_words,total_distal,distal,word,value
0,0.01,1,place,2,3,1,1,0.22
1,0.01,1,place,2,3,1,2,0.78
2,0.01,1,place,2,3,2,1,0.22
3,0.01,1,place,2,3,2,2,0.78
4,0.01,1,place,2,3,3,1,0.22
5,0.01,1,place,2,3,3,2,0.78
6,0.01,1,place,3,3,1,1,0.34
7,0.01,1,place,3,3,1,2,0.57
8,0.01,1,place,3,3,1,3,0.09
9,0.01,1,place,3,3,2,1,0.34
10,0.01,1,place,3,3,2,2,0.57
11,0.01,1,place,3,3,2,3,0.09
12,0.01,1,place,3,3,3,1,0.34
13,0.01,1,place,3,3,3,2,0.56
14,0.01,1,place,3,3,3,3,0.1
15,0.01,1,goal,2,3,1,1,0.29
16,0.01,1,goal,2,3,1,2,0.71
17,0.01,1,goal,2,3,2,1,0.29
18,0.01,1,goal,2,3,2,2,0.71
19,0.01,1,goal,2,3,3,1,0.29
20,0.01,1,goal,2,3,3,2,0.71
21,0.01,1,goal,3,3,1,1,0.65
22,0.01,1,goal,3,3,1,2,0.17
23,0.01,1,goal,3,3,1,3,0.18
24,0.01,1,goal,3,3,2,1,0.65
25,0.01,1,goal,3,3,2,2,0.16
26,0.01,1,goal,3,3,2,3,0.19
27,0.01,1,goal,3,3,3,1,0.65
28,0.01,1,goal,3,3,3,2,0.16
29,0.01,1,goal,3,3,3,3,0.19
30,0.01,1,source,2,3,1,1,0.43
31,0.01,1,source,2,3,1,2,0.57
32,0.01,1,source,2,3,2,1,0.43
33,0.01,1,source,2,3,2,2,0.57
34,0.01,1,source,2,3,3,1,0.43
35,0.01,1,source,2,3,3,2,0.57
36,0.01,1,source,3,3,1,1,0.47
37,0.01,1,source,3,3,1,2,0.21
38,0.01,1,source,3,3,1,3,0.32
39,0.01,1,source,3,3,2,1,0.47
40,0.01,1,source,3,3,2,2,0.21
41,0.01,1,source,3,3,2,3,0.32
42,0.01,1,source,3,3,3,1,0.47
43,0.01,1,source,3,3,3,2,0.2
44,0.01,1,source,3,3,3,3,0.33
45,0.01,1,place,2,4,1,1,0.31
46,0.01,1,place,2,4,1,2,0.69
47,0.01,1,place,2,4,2,1,0.31
48,0.01,1,place,2,4,2,2,0.69
49,0.01,1,place,2,4,3,1,0.31
50,0.01,1,place,2,4,3,2,0.69
51,0.01,1,place,2,4,4,1,0.3
52,0.01,1,place,2,4,4,2,0.7
53,0.01,1,place,3,4,1,1,0.24
54,0.01,1,place,3,4,1,2,0.58
55,0.01,1,place,3,4,1,3,0.19
56,0.01,1,place,3,4,2,1,0.23
57,0.01,1,place,3,4,2,2,0.58
58,0.01,1,place,3,4,2,3,0.19
59,0.01,1,place,3,4,3,1,0.23
60,0.01,1,place,3,4,3,2,0.57
61,0.01,1,place,3,4,3,3,0.2
62,0.01,1,place,3,4,4,1,0.22
63,0.01,1,place,3,4,4,2,0.57
64,0.01,1,place,3,4,4,3,0.21
65,0.01,1,place,4,4,1,1,0.39
66,0.01,1,place,4,4,1,2,0.14
67,0.01,1,place,4,4,1,3,0.18
68,0.01,1,place,4,4,1,4,0.29
69,0.01,1,place,4,4,2,1,0.38
70,0.01,1,place,4,4,2,2,0.14
71,0.01,1,place,4,4,2,3,0.18
72,0.01,1,place,4,4,2,4,0.29
73,0.01,1,place,4,4,3,1,0.36
74,0.01,1,place,4,4,3,2,0.15
75,0.01,1,place,4,4,3,3,0.18
76,0.01,1,place,4,4,3,4,0.31
77,0.01,1,place,4,4,4,1,0.34
78,0.01,1,place,4,4,4,2,0.15
79,0.01,1,place,4,4,4,3,0.19
80,0.01,1,place,4,4,4,4,0.32
81,0.01,1,goal,2,4,1,1,0.63
82,0.01,1,goal,2,4,1,2,0.37
83,0.01,1,goal,2,4,2,1,0.63
84,0.01,1,goal,2,4,2,2,0.37
85,0.01,1,goal,2,4,3,1,0.63
86,0.01,1,goal,2,4,3,2,0.37
87,0.01,1,goal,2,4,4,1,0.62
88,0.01,1,goal,2,4,4,2,0.38
89,0.01,1,goal,3,4,1,1,0.5
90,0.01,1,goal,3,4,1,2,0.3
91,0.01,1,goal,3,4,1,3,0.2
92,0.01,1,goal,3,4,2,1,0.49
93,0.01,1,goal,3,4,2,2,0.3
94,0.01,1,goal,3,4,2,3,0.21
95,0.01,1,goal,3,4,3,1,0.49
96,0.01,1,goal,3,4,3,2,0.3
97,0.01,1,goal,3,4,3,3,0.22
98,0.01,1,goal,3,4,4,1,0.48
99,0.01,1,goal,3,4,4,2,0.3
100,0.01,1,goal,3,4,4,3,0.22
101,0.01,1,goal,4,4,1,1,0.4
102,0.01,1,goal,4,4,1,2,0.09
103,0.01,1,goal,4,4,1,3,0.39
104,0.01,1,goal,4,4,1,4,0.12
105,0.01,1,goal,4,4,2,1,0.4
106,0.01,1,goal,4,4,2,2,0.09
107,0.01,1,goal,4,4,2,3,0.39
108,0.01,1,goal,4,4,2,4,0.12
109,0.01,1,goal,4,4,3,1,0.4
110,0.01,1,goal,4,4,3,2,0.09
111,0.01,1,goal,4,4,3,3,0.39
112,0.01,1,goal,4,4,3,4,0.12
113,0.01,1,goal,4,4,4,1,0.39
