,D1_place,D1_source,D1_goal,D2_place,D2_source,D2_goal,D3_place,D3_source,D3_goal
"Mundari (Austroasiatic, Mundaic)",3,5,0,4,1,7,6,8,2
"Santali (Austroasiatic, Mundaic)",5,4,5,0,2,0,1,3,1
"Dhimal (Sino-Tibetan, Dhimalish)",5,0,5,3,1,3,2,4,2
Malayalam (Dravidian),2,1,2,0,3,0,0,3,0
"Nicobarese, Car (Austroasiatic, Nicobaric)",3,1,3,2,0,2,2,0,2
Tuvinian (Turkic),7,8,2,3,0,4,5,6,1
Telugu (Dravidian),4,2,0,3,5,1,3,5,1
"Arabic, Modern Standard (Afro-Asiatic, Semitic)",5,3,7,0,2,1,6,4,8
"Wa (Austroasiatic, Palaungic)",3,1,3,4,2,4,0,5,0
Koḍava (Dravidian),3,0,5,2,1,4,2,1,4
Udihe (Tungusic),5,3,2,1,4,0,1,4,0
"Ostyak (Uralic, Khantyic)",2,5,0,3,1,4,3,1,4
"Khmer (Austroasiatic, Khmeric)",1,0,1,3,2,3,3,2,3
"Cantonese (Sino-Tibetan, Sinitic)",0,4,5,2,3,1,2,3,1
"Panjabi (Indo-European, Indo-Iranian)",3,2,0,1,5,4,1,5,4
"Bengali (Indo-European, Indo-Iranian)",1,6,3,7,2,5,0,4,0
Lamut (Tungusic),5,1,3,2,0,4,2,0,4
"Temiar (Austroasiatic, Aslian)",0,5,4,2,1,3,2,1,3
"Burushaski, Yasin (Burushaski)",7,2,0,3,4,5,8,6,1
Yugh (Yeniseian),7,4,3,8,1,6,0,2,5
"Vogul (Uralic, Mansi)",0,1,5,4,2,3,4,2,3
"Burmese (Tibeto-Burmese, Burmish)",0,4,1,2,3,5,2,3,5
"Baba Malay (Austronesian, Malayo-Sumbawan)",0,1,0,4,3,4,2,5,2
"Limbu (Sino-Tibetan, Kiranti)",0,3,1,6,7,5,4,2,4
"Khasi (Austroasiatic, Khasi-Palaung)",3,2,4,1,0,7,5,6,8
"Hmong Njua (Hmong-Mien, Chuanqiandian)",1,1,1,0,0,0,0,0,0
"Chinese (Sino-Tibetan, Sinitic)",2,1,0,4,3,5,4,3,5
Tamil (Dravidian),1,2,1,0,3,0,0,3,0
"Thai (Tai-Kadai, Daic)",0,2,0,3,5,3,4,1,4
"Hindi (Indo-European, Indo-Iranian)",0,1,2,3,5,4,3,5,4
Evenki (Tungusic),3,4,2,5,0,1,5,0,1
Korean (Koreanic),6,1,8,0,4,3,5,7,2
"Apatani (Sino-Tibetan, Macro-Tani)",2,3,2,0,1,0,0,1,0
"Atong (Sino-Tibetan, Brahmaputran)",3,5,0,1,7,8,4,2,6
"Yukaghir, Kolyma (Yukaghir)",5,6,7,1,4,8,2,0,3
"Vietnamese (Austroasiatic, Vietic)",2,1,3,4,5,0,4,5,0
Manchu (Tungusic),0,4,5,3,1,2,3,1,2
"Bantawa (Sino-Tibetan, Kiranti)",7,6,0,1,8,5,3,4,2
"Mualang (Austronesian, Malayo-Sumbawan)",8,2,6,5,3,1,7,0,4
"Hebrew (Afro-Asiatic, Semitic)",1,4,5,3,0,2,3,0,2
"Persian (Indo-European, Indo-Iranian)",5,0,1,3,2,4,3,2,4
Ainu (Ainu),8,0,4,7,6,2,3,1,5
"Sango (Atlantic-Congo, Ubangi)",0,0,0,1,1,1,1,1,1
"Ngizim (Afro-Asiatic, Chadic)",0,3,7,5,2,6,4,8,1
"Amharic (Afro-Asiatic, Semitic)",2,1,5,0,3,4,0,3,4
"Tamasheq, Tadraq (Afro-Asiatic, Berber)",6,5,0,7,2,8,3,4,1
"Somali (Afro-Asiatic, Cushitic)",2,0,2,1,3,1,1,3,1
"Khoekhoe, Nama (Khoe-Kwadi)",4,5,2,6,7,0,1,8,3
"Hausa (Afro-Asiatic, Chadic)",5,4,8,0,1,6,3,7,2
"Kikuyu (Atlantic-Congo, Bantu)",4,2,4,0,1,0,3,5,3
"Supyire Senoufo (Atlantic-Congo, Gur)",1,1,1,0,0,0,0,0,0
"Òṇìc̣hà Igbo (Atlantic-Congo, Igboid)",0,0,0,1,1,1,1,1,1
Zialo (Mande),1,1,1,0,0,0,2,2,2
Wolaytta (Ta-Ne-Omotic),3,5,4,1,2,0,1,2,0
"Fon (Atlantic-Congo, Gbe)",0,0,0,1,1,1,1,1,1
Loma (Mande),1,1,1,0,0,0,0,0,0
Bunoge Dogon (Dogon),2,0,0,1,3,3,1,3,3
Maale (Ta-Ne-Omotic),2,1,3,0,4,0,0,4,0
"	Kabiyé (Atlantic-Congo, Gur)",1,1,1,0,0,0,0,0,0
"Gonja (Atlantic-Congo, Guang)",0,0,0,1,1,1,1,1,1
"Dii (Atlantic-Congo, Central Adamawa)",1,1,1,2,2,2,0,0,0
Balese (Central Sudanic),4,1,1,0,2,2,5,3,3
Dime (South Omotic),0,3,0,2,1,2,2,1,2
"Ewe (Atlantic-Congo, Gbe)",1,1,1,2,0,0,2,0,0
Koyra Chiini (Songhay),2,2,2,1,1,1,0,0,0
"Fulfulde, Adamawa (Atlantic-Congo, North Atlantic)",0,2,0,3,1,3,3,1,3
"Gidar (Afro-Asiatic, Chadic)",2,1,2,0,3,0,0,3,0
"Ò̩ko̩ (Atlantic-Congo, Oko-Eni-Osayen)",2,1,2,3,0,3,3,0,3
"Afar (Afro-Asiatic, Cushitic) ",3,2,3,0,1,0,0,1,0
Bambara (Mande),0,0,0,1,1,1,1,1,1
"Angolar (Indo-European, Lower Guinea Portuguese)",1,2,2,0,0,0,0,0,0
"Swahili (Atlantic-Congo, Bantu)",3,4,3,2,0,2,5,1,5
