,D1_place,D1_source,D1_goal,D2_place,D2_source,D2_goal,D3_place,D3_source,D3_goal
"Mundari (Austroasiatic, Mundaic)",4.0,5.0,4.0,4.0,5.0,4.0,5.0,6.0,5.0
"Santali (Austroasiatic, Mundaic)",5.0,9.0,5.0,4.0,8.0,4.0,5.0,9.0,5.0
"Dhimal (Sino-Tibetan, Dhimalish)",3.0,5.0,3.0,4.0,6.0,4.0,3.0,5.0,3.0
Malayalam (Dravidian),5.0,10.0,5.0,5.0,10.0,5.0,5.0,10.0,5.0
"Nicobarese, Car (Austroasiatic, Nicobaric)",3.5,8.25,3.5,3.5,8.25,3.5,3.5,8.25,3.5
Tuvinian (Turkic),5.5,4.0,6.0,5.0,4.5,5.0,6.333333333333333,4.0,0.0
Telugu (Dravidian),6.0,11.0,8.0,6.0,11.0,8.0,6.0,11.0,8.0
"Arabic, Modern Standard (Afro-Asiatic, Semitic)",5.0,8.0,10.0,7.0,10.0,12.0,9.0,12.0,14.0
"Wa (Austroasiatic, Palaungic)",3.0,9.0,3.0,3.0,9.0,3.0,2.5,8.5,2.5
Koḍava (Dravidian),4.0,7.0,5.0,4.0,7.0,5.0,4.0,7.0,5.0
Udihe (Tungusic),4.0,5.0,4.5,4.8,6.5,6.0,4.8,6.5,6.0
"Ostyak (Uralic, Khantyic)",7.0,7.0,4.0,2.5,6.666666666666667,5.666666666666667,2.5,6.666666666666667,5.666666666666667
"Khmer (Austroasiatic, Khmeric)",4.333333333333333,6.333333333333333,4.333333333333333,4.333333333333333,6.333333333333333,4.333333333333333,4.333333333333333,6.333333333333333,4.333333333333333
"Cantonese (Sino-Tibetan, Sinitic)",6.5,11.0,7.0,5.5,10.0,6.0,5.5,10.0,6.0
"Panjabi (Indo-European, Indo-Iranian)",4.5,5.5,5.5,4.0,5.0,5.0,4.0,5.0,5.0
"Bengali (Indo-European, Indo-Iranian)",5.0,10.0,6.0,5.666666666666667,11.0,7.0,6.0,10.0,6.0
Lamut (Tungusic),4.0,5.0,6.0,4.0,6.0,7.0,4.0,6.0,7.0
"Temiar (Austroasiatic, Aslian)",4.5,6.0,5.0,4.5,6.0,5.0,4.5,6.0,5.0
"Burushaski, Yasin (Burushaski)",3.6666666666666665,6.5,4.8,2.5,4.0,3.0,3.0,5.0,4.0
Yugh (Yeniseian),5.5,6.5,6.0,4.0,6.0,8.0,5.0,6.5,8.0
"Vogul (Uralic, Mansi)",3.0,5.0,4.0,3.0,4.0,4.5,3.0,4.0,4.5
"Burmese (Tibeto-Burmese, Burmish)",5.0,4.0,3.5,6.0,5.0,4.5,6.0,5.0,4.5
"Baba Malay (Austronesian, Malayo-Sumbawan)",5.0,8.0,5.0,5.0,8.0,5.0,5.0,8.0,5.0
"Limbu (Sino-Tibetan, Kiranti)",4.0,6.5,4.5,5.0,7.5,5.5,2.0,4.0,2.0
"Khasi (Austroasiatic, Khasi-Palaung)",6.0,6.0,5.5,6.0,6.0,5.5,7.0,7.0,6.5
"Hmong Njua (Hmong-Mien, Chuanqiandian)",6.5,6.5,6.5,7.0,7.0,7.0,7.0,7.0,7.0
"Chinese (Sino-Tibetan, Sinitic)",6.0,8.5,6.0,5.0,7.5,5.0,5.0,7.5,5.0
Tamil (Dravidian),5.0,10.0,5.0,5.0,10.0,5.0,5.0,10.0,5.0
"Thai (Tai-Kadai, Daic)",7.0,7.0,7.0,7.0,11.0,7.0,8.0,12.0,8.0
"Hindi (Indo-European, Indo-Iranian)",5.0,7.0,5.0,5.0,7.0,5.0,5.0,7.0,5.0
Evenki (Tungusic),3.0,4.5,3.75,4.0,5.5,4.75,4.0,5.5,4.75
Korean (Koreanic),5.5,9.0,6.5,5.5,9.0,6.5,6.5,10.0,7.5
"Apatani (Sino-Tibetan, Macro-Tani)",2.0,5.0,2.0,2.0,5.0,2.0,2.0,5.0,2.0
"Atong (Sino-Tibetan, Brahmaputran)",3.0,4.333333333333333,5.0,3.0,4.333333333333333,5.0,5.0,7.0,7.0
"Yukaghir, Kolyma (Yukaghir)",3.0,4.0,6.0,4.0,5.0,7.0,3.0,4.0,7.0
"Vietnamese (Austroasiatic, Vietic)",4.333333333333333,5.0,3.0,4.0,4.666666666666667,2.6666666666666665,4.0,4.666666666666667,2.6666666666666665
Manchu (Tungusic),5.0,5.0,4.5,6.0,6.0,5.0,6.0,6.0,5.0
"Bantawa (Sino-Tibetan, Kiranti)",3.0,6.0,5.5,4.0,7.0,6.5,5.0,8.0,7.5
"Mualang (Austronesian, Malayo-Sumbawan)",5.0,6.0,5.0,4.0,6.666666666666667,4.0,3.0,7.0,3.0
"Hebrew (Afro-Asiatic, Semitic)",2.5,5.0,5.0,3.0,5.0,4.5,3.0,5.0,4.5
"Persian (Indo-European, Indo-Iranian)",4.0,6.0,5.0,4.0,6.0,5.0,4.0,6.0,5.0
Ainu (Ainu),4.0,4.0,4.0,6.0,7.0,7.0,7.0,7.0,7.0
"Sango (Atlantic-Congo, Ubangi)",4.5,4.5,4.5,2.0,2.0,2.0,2.0,2.0,2.0
"Ngizim (Afro-Asiatic, Chadic)",8.0,8.0,8.0,9.0,9.0,9.0,6.0,6.0,6.0
"Amharic (Afro-Asiatic, Semitic)",5.0,6.0,6.75,6.0,7.0,7.75,6.0,7.0,7.75
"Tamasheq, Tadraq (Afro-Asiatic, Berber)",4.0,4.0,4.0,5.0,9.0,4.5,4.0,8.0,4.0
"Somali (Afro-Asiatic, Cushitic)",6.5,8.5,6.5,7.0,9.0,7.0,7.0,9.0,7.0
"Khoekhoe, Nama (Khoe-Kwadi)",4.0,6.0,4.0,5.0,7.0,5.0,5.0,7.0,5.0
"Hausa (Afro-Asiatic, Chadic)",3.0,7.0,5.5,0.0,7.0,5.5,3.0,7.0,5.5
"Kikuyu (Atlantic-Congo, Bantu)",4.0,6.5,4.0,6.0,8.5,6.0,5.0,7.5,5.0
"Supyire Senoufo (Atlantic-Congo, Gur)",4.0,4.0,4.0,3.5,3.5,3.5,3.5,3.5,3.5
"Òṇìc̣hà Igbo (Atlantic-Congo, Igboid)",5.0,5.0,5.0,8.0,8.0,8.0,8.0,8.0,8.0
Zialo (Mande),2.0,2.0,2.0,4.0,4.0,4.0,5.0,5.0,5.0
Wolaytta (Ta-Ne-Omotic),4.666666666666667,7.0,4.666666666666667,5.0,7.0,5.0,5.0,7.0,5.0
"Fon (Atlantic-Congo, Gbe)",2.0,2.0,2.0,5.0,5.0,5.0,5.0,5.0,5.0
Loma (Mande),2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0
Bunoge Dogon (Dogon),3.3333333333333335,3.0,3.0,3.3333333333333335,3.0,3.0,3.3333333333333335,3.0,3.0
Maale (Ta-Ne-Omotic),5.0,8.0,4.75,4.5,7.5,4.5,4.5,7.5,4.5
"	Kabiyé (Atlantic-Congo, Gur)",4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0
"Gonja (Atlantic-Congo, Guang)",4.0,4.0,4.0,6.0,6.0,6.0,6.0,6.0,6.0
"Dii (Atlantic-Congo, Central Adamawa)",6.0,6.0,6.0,7.0,7.0,7.0,4.0,4.0,4.0
Balese (Central Sudanic),4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
Dime (South Omotic),6.0,8.0,6.0,5.0,7.0,5.0,5.0,7.0,5.0
"Ewe (Atlantic-Congo, Gbe)",4.5,4.5,4.5,5.0,5.0,5.0,5.0,5.0,5.0
Koyra Chiini (Songhay),3.0,3.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0
"Fulfulde, Adamawa (Atlantic-Congo, North Atlantic)",3.25,5.5,3.25,3.5,5.5,3.5,3.5,5.5,3.5
"Gidar (Afro-Asiatic, Chadic)",4.0,5.0,4.0,4.0,6.0,4.0,4.0,6.0,4.0
"Ò̩ko̩ (Atlantic-Congo, Oko-Eni-Osayen)",5.0,7.0,5.0,12.0,14.0,12.0,12.0,14.0,12.0
"Afar (Afro-Asiatic, Cushitic) ",6.0,6.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0
Bambara (Mande),3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
"Angolar (Indo-European, Lower Guinea Portuguese)",3.6,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
"Swahili (Atlantic-Congo, Bantu)",4.0,7.0,4.0,4.0,7.0,4.0,4.0,7.0,4.0
"Tigrinya (Afro-Asiatic, Semitic)",5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Susu (Mande),2.0,2.0,2.0,3.5,3.5,3.5,3.5,3.5,3.5
Penange (Dogon),4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
"Tswana (Atlantic-Congo, Bantu)",2.0,2.0,2.0,3.3333333333333335,3.3333333333333335,3.3333333333333335,4.0,4.0,4.0
"Mambay (Atlantic-Congo, Mbumic)",4.0,4.0,4.5,4.0,4.0,5.5,4.0,4.0,5.5
Lango (Nilotic),3.0,4.0,3.0,4.0,5.0,4.0,4.0,5.0,4.0
Hamar (South Omotic),4.0,5.0,5.666666666666667,2.0,4.0,4.666666666666667,2.0,4.0,4.666666666666667
"Kaba (Central Sudanic, Saraic)",4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
"Malagasy (Austronesian, Greater Barito)",3.5,3.5,3.5,3.0,2.0,2.0,3.6666666666666665,3.5,3.5
"Munukutuba (Atlantic-Congo, Bantu)",3.0,5.0,3.0,4.0,6.0,4.0,4.0,6.0,4.0
"Yoruba (Atlantic-Congo, Defoid)",4.8,6.0,5.666666666666667,4.5,6.5,5.0,6.5,5.0,7.5
Nobiin (Nubian),4.0,8.0,4.0,5.0,9.0,5.0,5.0,9.0,5.0
Bangime (Bangime),3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0
"Miya (Afro-Asiatic, Chadic)",6.0,8.0,6.0,5.0,7.0,5.0,5.0,7.0,5.0
Koyraboro Senni (Songhay),4.0,4.0,4.0,11.0,11.0,11.0,9.666666666666666,9.666666666666666,9.666666666666666
"Zay (Afro-Asiatic, Semitic)",8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0
"[AM-13] Cubeo (Tucanoan, Western Tucanoan) ",4.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0
"[AM-20]  Klamath (Penutian, Klamath-Modoc) ",4.5,8.333333333333334,4.5,3.6666666666666665,9.0,7.0,3.0,5.0,6.0
"[AM-23]  Kuna, Border (Chibchan, Core Chibchan)",6.0,7.0,6.0,5.0,6.0,5.0,4.0,5.0,4.0
"[AM-43]  Totonac, Upper Necaxa (Totonacan, Totonac) ",3.5,1.0,3.5,5.25,6.0,5.0,6.333333333333333,0.0,5.5
"[AM-14] Dakota (Siouan, Core Siouan)",4.0,6.5,10.5,4.0,8.0,8.0,4.0,8.0,8.0
"[AM-18]  Inuktitut, Western Canadian (Eskimo-Aleut, Eskimo) ",5.0,8.0,6.0,5.0,8.0,6.0,5.0,8.0,6.0
"[AM-33]  Osage (Siouan, Core Siouan) ",5.0,8.0,5.0,5.0,8.0,4.0,5.0,8.0,4.0
"[AM-38]  Quechua, Yauyos (Quechuan, Central Quechua I)",5.0,6.0,8.0,6.0,7.0,7.0,5.0,6.0,6.0
[AM-50]  Yuracaré (Yuracaré) ,3.0,7.0,4.0,3.0,7.0,5.0,3.0,6.0,5.0
"[AM-10] Comanche (Uto-Aztecan, Numic) ",4.0,4.5,5.0,4.0,4.0,5.0,4.0,0.0,4.0
"[AM-11]  Cree (Algic, Algonquian) ",3.0,7.0,3.0,4.0,3.3333333333333335,10.0,4.0,3.3333333333333335,10.0
"[AM-16]  Guaraní (Paraguay) (Tupian, Tupi-Guarani)",3.0,6.0,3.0,5.0,6.0,5.0,5.0,6.0,5.0
"[AM-17]  Hualapai (Cochimi-Yuman, Yuman) ",2.0,3.0,3.0,3.0,3.0,4.0,2.0,3.0,4.5
"[AM-47]  Yaqui (Uto-Aztecan, Cahitan)",5.0,4.75,5.25,4.5,4.0,4.0,5.0,4.0,4.333333333333333
"[AM-48]  Yine (Arawakan, Purus)",4.0,4.0,4.0,4.0,4.0,4.0,5.0,0.0,0.0
"[AM-21]  Kodiak Alutiiq (Eskimo-Aleut, Aleut) ",6.0,6.0,7.0,5.0,6.0,6.0,6.0,7.0,7.0
"[AM-25]  Lenca, Honduran (reconstructed) (Lencan)",3.0,6.0,3.0,4.0,7.0,4.0,4.0,7.0,4.0
"[AM-15]  Garifuna (Arawakan, Caribbean Arawakan) ",4.0,7.0,6.0,3.5,9.0,5.333333333333333,4.0,9.0,5.0
"[AM-35]  Parecís (Arawakan, Central Maipuran) ",3.0,5.0,3.0,4.0,6.0,4.0,4.0,6.0,4.0
"Apache, San Carlos (Athabaskan-Eyak-Tlingit, Athabaskan) ",4.333333333333333,6.0,6.0,2.6666666666666665,4.0,3.0,4.166666666666667,6.0,5.0
"[AM-40]  Shipibo-Konibo (Pano-Tacanan, Panoan) ",4.0,5.0,4.0,4.5,6.0,4.5,3.0,4.0,3.0
"[AM-49]  Yucatec Maya (Mayan, Yucatecan) ",3.5,3.5,3.5,5.166666666666667,5.166666666666667,5.166666666666667,4.0,4.0,4.0
"[AM-28]  Musqueam (Salishan, Central Salish)",3.0,13.0,5.0,4.0,13.0,4.666666666666667,7.0,13.0,6.0
"[AM-37]  Popoluca, Highland (Mixe-Zoque) ",4.0,6.0,4.0,3.0,5.0,3.0,6.0,0.0,6.0
"[AM-45]  Tzotzil, Zinacantán (Mayan, Cholan-Tzeltalan)",3.0,3.0,3.0,2.5,2.5,2.5,3.0,3.0,3.0
"Ch’ol, Tila (Mayan, Cholan-Tzeltalan) ",3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
"[AM-32]  Nez Perce (Penutian, Sahaptian)",5.5,5.5,6.5,6.0,5.5,6.5,6.0,5.5,6.5
"[AM-44]  Trio (Cariban, Guianan)",5.0,8.0,6.333333333333333,6.0,7.0,6.666666666666667,6.0,7.0,8.0
[AM-39]  Sahaptin (Yakima Ichishkíin) (Penutian) ,5.5,6.0,6.0,5.333333333333333,6.0,6.0,5.333333333333333,6.0,6.0
"[AM-29]  Mutsun (Penutian, Costanoan)",2.0,7.0,2.0,4.0,8.0,4.0,4.0,7.0,4.0
"[AM-41]  Tohono O'Odham  (Uto-Aztecan, Tepiman) ",3.4,6.0,5.0,3.0,5.0,3.0,4.666666666666667,8.0,4.666666666666667
"[AM-30] Nahuatl, Guerrero (Uto-Aztecan, Aztec) ",5.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0
"[AM-24]  Lakota (Siouan, Core Siouan)",3.0,10.0,7.0,5.0,10.0,7.0,2.5,0.0,7.0
"[AM-19]  Kamaiura (Tupian, Tupi-Guarani)  ",4.0,5.5,4.0,12.5,6.0,7.0,12.5,6.0,7.0
"[AM-36]  Pipil (Uto-Aztecan, Aztecan)",6.0,6.0,4.25,3.0,3.0,3.0,6.0,6.0,6.0
"[AM-34]  Otomí, Sierra (Oto-Manguean, Otomian)",3.0,3.0,3.0,2.6666666666666665,2.6666666666666665,2.6666666666666665,2.6666666666666665,2.6666666666666665,2.6666666666666665
"[AM-42] Totonac, Filomeno Mata (Totonacan, Totonac) [José Santiago Francisco, p.c.; 1McFarland 2009]",4.0,1.0,2.0,5.0,5.0,10.0,3.0,3.0,3.0
"Arapaho (Algic, Algonquian) ",3.5,3.8,3.25,2.6666666666666665,2.0,3.0,4.666666666666667,0.0,8.5
