,D1_place,D2_place,D3_place,D1_goal,D2_goal,D3_goal,D1_source,D2_source,D3_source,I[U;W],I[M;W],gamma_fit,epsilon,gNID,Language,Area,LangCategory,systematicity
21270,2,6,5,7,0,4,3,8,1,0.6036291072307001,1.7530612423846796,100.0,-7.105427357601002e-16,-2.220446049250313e-16,"[AM-44]  Trio (Cariban, Guianan)",americas,real,2
21244,7,3,4,8,6,5,1,2,0,0.6036291072306998,1.7530612423846799,41.02753112167525,-1.2989010970210075e-15,2.220446049250313e-16,"[AM-15]  Garifuna (Arawakan, Caribbean Arawakan) ",americas,real,2
21223,2,7,3,8,0,6,4,1,5,0.6036291072306998,1.7530612423846796,41.02753112167525,-1.2989010970210075e-15,3.3306690738754696e-16,"Arabic, Modern Standard (Afro-Asiatic, Semitic)",asia,real,2
21228,7,8,0,6,3,2,5,4,1,0.6036291072306998,1.7530612423846796,41.02753112167525,-1.2989010970210075e-15,2.220446049250313e-16,Korean (Koreanic),asia,real,2
21219,8,5,7,0,3,4,1,2,6,0.6036291072306998,1.7530612423846796,41.02753112167525,-1.2989010970210075e-15,2.220446049250313e-16,"Mundari (Austroasiatic, Mundaic)",asia,real,2
21336,6,1,2,8,0,4,5,7,3,0.6036291072306998,1.7530612423846799,41.02753112167525,-1.2989010970210075e-15,2.220446049250313e-16,[OC-17]  Jingulu (Mirndi),oceania,real,2
21350,0,6,2,3,4,5,1,8,7,0.6036291072306998,1.7530612423846796,41.02753112167525,-1.2989010970210075e-15,0.0,"[OC-11]  Fijian (Austronesian, Oceanic)",oceania,real,2
21233,2,8,0,6,1,4,7,5,3,0.6036291072306998,1.7530612423846799,41.02753112167525,-1.2989010970210075e-15,3.3306690738754696e-16,"Khasi (Austroasiatic, Khasi-Palaung)",asia,real,2
21352,6,8,4,2,3,0,7,1,5,0.6036291072306998,1.7530612423846796,41.02753112167525,-1.2989010970210075e-15,3.3306690738754696e-16,[OC-28]  Ngan'gityemerri (Southern Daly),oceania,real,2
21235,0,8,6,1,7,4,5,2,3,0.6036291072306998,1.7530612423846796,41.02753112167525,-1.2989010970210075e-15,2.220446049250313e-16,"[AM-18]  Inuktitut, Western Canadian (Eskimo-Aleut, Eskimo) ",americas,real,2
21238,4,5,7,8,3,2,1,0,6,0.6036291072306998,1.7530612423846796,41.02753112167525,-1.2989010970210075e-15,2.220446049250313e-16,"[AM-21]  Kodiak Alutiiq (Eskimo-Aleut, Aleut) ",americas,real,2
21345,6,1,5,4,0,3,7,8,2,0.6036291072306998,1.7530612423846796,41.02753112167525,-1.2989010970210075e-15,-2.220446049250313e-16,"[OC-50]  Yuwaalaraay (Pama-Nyungan, Wiradhuric)",oceania,real,2
21356,1,8,7,6,2,5,3,4,0,0.6036291072306998,1.7530612423846799,41.02753112167525,-1.2989010970210075e-15,2.220446049250313e-16,"[OC-49]  Yindjibarndi  (Pama-Nyungan, Pilbara)",oceania,real,2
21250,0,4,3,8,1,7,6,5,2,0.6036291072306998,1.7530612423846796,41.02753112167525,-1.2989010970210075e-15,2.220446049250313e-16,[AM-26]  Mapudungun (Araucanian) ,americas,real,2
21167,8,7,6,5,4,0,2,3,1,0.6036291072306998,1.7530612423846796,41.02753112167525,-1.2989010970210075e-15,3.3306690738754696e-16,Finnish (Uralic),europe,real,2
21360,0,8,5,7,1,4,3,6,2,0.6036291072306998,1.7530612423846796,41.02753112167525,-1.2989010970210075e-15,2.220446049250313e-16,"[OC-21]  Maori (Southern Cook Islands) (Austronesian, Oceanic)",oceania,real,2
21193,7,4,0,5,3,1,2,8,6,0.6036291072306998,1.7530612423846796,41.02753112167525,-1.2989010970210075e-15,-2.220446049250313e-16,"Bantawa (Sino-Tibetan, Kiranti)",asia,real,2
21271,6,8,5,2,0,4,3,1,7,0.6036291072306998,1.7530612423846796,41.02753112167525,-1.2989010970210075e-15,2.220446049250313e-16,[AM-50]  Yuracaré (Yuracaré) ,americas,real,2
21182,3,4,0,5,6,1,7,8,2,0.6036291072306998,1.7530612423846796,41.02753112167525,-1.2989010970210075e-15,-2.220446049250313e-16,Catalan,europe,real,2
21231,5,7,8,6,1,2,4,0,3,0.6036291072306996,1.7530612423846794,41.02753112167525,-1.039120877616806e-15,-2.220446049250313e-16,Ainu (Ainu),asia,real,2
21187,3,2,1,6,7,0,8,5,4,0.6036291072306996,1.7530612423846794,41.02753112167525,-1.039120877616806e-15,-2.220446049250313e-16,Turkish (Turkic),europe,real,2
21341,2,7,8,0,6,1,4,5,3,0.6036291072306996,1.7530612423846794,41.02753112167525,-1.039120877616806e-15,-2.220446049250313e-16,"[OC-8]  Djapu (Pama-Nyungan, Yuulngu) ",oceania,real,2
21313,6,4,2,7,8,1,5,0,3,0.6036291072306996,1.7530612423846799,41.02753112167525,-1.039120877616806e-15,2.220446049250313e-16,"Tamasheq, Tadraq (Afro-Asiatic, Berber)",africa,real,2
21166,1,7,3,6,2,5,0,8,4,0.6036291072306996,1.7530612423846794,41.02753112167525,-1.039120877616806e-15,-2.220446049250313e-16,"Old Church Slavonic (Indo-European, Slavic)",europe,real,2
21220,8,4,0,1,7,3,6,5,2,0.6036291072306996,1.7530612423846796,41.02753112167525,-1.039120877616806e-15,2.220446049250313e-16,"Atong (Sino-Tibetan, Brahmaputran)",asia,real,2
21199,4,3,5,8,1,0,6,7,2,0.6036291072306994,1.7530612423846796,41.02753112167525,-8.659340646806717e-16,2.220446049250313e-16,Tuvinian (Turkic),asia,real,2
21359,8,5,1,4,6,2,7,3,0,0.6036291072306994,1.7530612423846796,41.02753112167525,-8.659340646806717e-16,3.3306690738754696e-16,[OC-45]  Wardaman (Yangmanic),oceania,real,2
21262,1,5,6,0,3,7,4,2,8,0.6036291072306994,1.75306124238468,41.02753112167525,-7.793406582126045e-16,0.0,"Apache, San Carlos (Athabaskan-Eyak-Tlingit, Athabaskan) ",americas,real,2
21254,6,0,7,5,4,3,8,2,1,0.6036291072306994,1.7530612423846799,41.02753112167525,-8.659340646806717e-16,-2.220446049250313e-16,"[AM-24]  Lakota (Siouan, Core Siouan)",americas,real,2
21252,8,1,3,4,6,7,2,0,5,0.6036291072306994,1.7530612423846799,41.02753112167525,-8.659340646806717e-16,0.0,"[AM-38]  Quechua, Yauyos (Quechuan, Central Quechua I)",americas,real,2
21329,8,1,6,3,4,5,7,2,0,0.6036291072306994,1.7530612423846799,41.02753112167525,-8.659340646806717e-16,2.220446049250313e-16,"Arrernte, Eastern (Pama-Nyungan, Aranda) ",oceania,real,2
21342,8,6,4,1,0,7,5,3,2,0.6036291072306994,1.7530612423846796,41.02753112167525,-8.659340646806717e-16,2.220446049250313e-16,"[OC-5]  Bardi (Nyulnyulan, Western) ",oceania,real,2
21245,4,2,7,3,6,5,1,8,0,0.6036291072306994,1.7530612423846796,41.02753112167525,-8.659340646806717e-16,-2.220446049250313e-16,"Arapaho (Algic, Algonquian) ",americas,real,2
21183,8,0,3,6,5,7,2,4,1,0.6036291072306994,1.7530612423846799,41.02753112167525,-8.659340646806717e-16,2.220446049250313e-16,"Macedonian (Indo-European, Slavic)",europe,real,2
21145,0,1,2,3,4,5,6,7,8,0.6036291072306994,1.7530612423846796,41.02753112167525,-8.659340646806717e-16,0.0,simulated,simulated,simulated,2
21214,8,6,5,3,0,4,7,2,1,0.6036291072306994,1.7530612423846796,41.02753112167525,-8.659340646806717e-16,2.220446049250313e-16,"Burushaski, Yasin (Burushaski)",asia,real,2
21349,3,5,2,0,7,4,6,1,8,0.6036291072306994,1.7530612423846796,41.02753112167525,-8.659340646806717e-16,0.0,"[OC-48]  Yidiɲ (Pama-Nyungan, Yimidhirr-Yalanji-Yidinic)",oceania,real,2
21218,8,0,2,6,4,5,1,7,3,0.6036291072306994,1.7530612423846796,41.02753112167525,-8.659340646806717e-16,-2.220446049250313e-16,Yugh (Yeniseian),asia,real,2
21227,0,5,1,7,4,6,3,2,8,0.6036291072306994,1.7530612423846796,41.02753112167525,-8.659340646806717e-16,2.220446049250313e-16,"Yukaghir, Kolyma (Yukaghir)",asia,real,2
21302,2,3,6,4,7,0,5,1,8,0.6036291072306994,1.7530612423846796,41.02753112167525,-8.659340646806717e-16,0.0,"Khoekhoe, Nama (Khoe-Kwadi)",africa,real,2
21232,6,7,1,4,3,8,5,0,2,0.6036291072306992,1.7530612423846794,41.02753112167525,-6.061538452764702e-16,0.0,"Mualang (Austronesian, Malayo-Sumbawan)",asia,real,2
21255,5,4,0,2,8,1,6,7,3,0.6036291072306992,1.7530612423846794,41.02753112167525,-6.061538452764702e-16,2.220446049250313e-16,"[AM-17]  Hualapai (Cochimi-Yuman, Yuman) ",americas,real,2
21259,7,0,4,3,1,8,2,5,6,0.6036291072306992,1.7530612423846794,41.02753112167525,-6.061538452764702e-16,0.0,"[AM-20]  Klamath (Penutian, Klamath-Modoc) ",americas,real,2
21170,4,7,2,3,1,0,8,6,5,0.6036291072306992,1.7530612423846794,41.02753112167525,-6.061538452764702e-16,-2.220446049250313e-16,"German (Indo-European, Germanic)",europe,real,2
21279,2,7,3,5,1,8,4,0,6,0.6036291072306992,1.7530612423846796,41.02753112167525,-6.061538452764702e-16,2.220446049250313e-16,"Yoruba (Atlantic-Congo, Defoid)",africa,real,2
21284,3,0,5,4,7,2,8,1,6,0.6036291072306992,1.7530612423846794,41.02753112167525,-6.061538452764702e-16,-2.220446049250313e-16,"Hausa (Afro-Asiatic, Chadic)",africa,real,2
21294,1,3,7,2,4,8,5,6,0,0.6036291072306992,1.7530612423846794,41.02753112167525,-6.061538452764702e-16,0.0,"Ngizim (Afro-Asiatic, Chadic)",africa,real,2
21161,2,8,1,3,7,0,5,4,6,0.603629107230699,1.7530612423846796,41.02753112167525,-3.463736258722687e-16,2.220446049250313e-16,Basque,europe,real,2
21362,7,8,0,2,4,3,6,5,1,0.603629107230699,1.7530612423846796,41.02753112167525,-3.463736258722687e-16,2.220446049250313e-16,"[OC-47]  Yawuru (Nyulnyulan, Eastern)",oceania,real,2
21343,3,8,5,2,4,0,1,7,6,0.603629107230699,1.7530612423846796,41.02753112167525,-3.463736258722687e-16,2.220446049250313e-16,"[OC-19]  Komnzo (Morehead-Wasur, Eastern Tonda)",oceania,real,2
21365,6,1,5,2,0,7,4,3,3,0.596382416678918,1.7315367249259905,6.014314356473424,0.004877661317058336,0.028996868524577835,[OC-25]  Maybrat (Maybrat-Karon) ,oceania,real,3
21128,0,1,2,3,4,5,6,7,7,0.5963824166789176,1.7315367249259905,6.014314356473424,0.0048776613170587796,0.028996868524577613,simulated,simulated,simulated,3
21132,0,1,2,3,4,5,6,7,2,0.5946475922550412,1.7237155339878687,5.796628266788144,0.005477158585373836,0.03491598210453428,simulated,simulated,simulated,3
21335,3,5,4,6,2,0,7,1,0,0.5912421711397176,1.732464528714737,5.48478287126155,0.010880648441451271,0.046112285512214024,"[OC-30]  Orokaiva (Trans-New Guinea, Binanderean)",oceania,real,3
21136,0,1,2,3,4,5,6,7,5,0.5912421711397176,1.732464528714737,5.48478287126155,0.010880648441451271,0.04611228551221436,simulated,simulated,simulated,3
21334,4,2,7,3,5,0,1,6,0,0.5912421711397176,1.732464528714737,5.48478287126155,0.010880648441451271,0.046112285512214135,[OC-27]  Motuna (South Bougainville),oceania,real,3
21209,4,0,2,5,7,2,1,6,3,0.5887871399488911,1.701137896765747,5.3025282218759155,0.007844202116128433,0.05258377964594707,"Limbu (Sino-Tibetan, Kiranti)",asia,real,3
21243,7,4,2,3,1,2,5,6,0,0.5887871399488911,1.701137896765747,5.3025282218759155,0.007844202116128433,0.05258377964594707,"[AM-10] Comanche (Uto-Aztecan, Numic) ",americas,real,3
21197,4,1,5,6,0,5,7,3,2,0.5887871399488909,1.7011378967657467,5.3025282218759155,0.007844202116128558,0.05258377964594729,"Bengali (Indo-European, Indo-Iranian)",asia,real,3
21119,0,1,2,3,4,2,5,6,7,0.5887871399488909,1.7011378967657471,5.3025282218759155,0.007844202116128643,0.05258377964594707,simulated,simulated,simulated,3
21122,0,1,2,3,4,4,5,6,7,0.5859669430199543,1.700494778482404,5.142102868385321,0.010828615782176755,0.062297592228757526,simulated,simulated,simulated,3
21109,0,1,2,3,4,5,6,7,6,0.5856515323931335,1.7226332090954124,5.126329738796646,0.015496400004142154,0.06366689984956608,simulated,simulated,simulated,3
21328,4,2,1,7,3,6,0,5,0,0.5856515323931335,1.7226332090954124,5.126329738796646,0.015496400004142154,0.06366689984956608,"Abui (Timor-Alor-Pantar, Alor) ",oceania,real,3
21112,0,1,2,3,4,5,6,7,1,0.5855445580276859,1.7151733889482903,5.126329738796646,0.014148177273962986,0.0636877607855938,simulated,simulated,simulated,2
21121,0,1,2,3,4,5,6,6,7,0.584596919245046,1.6949467886856064,5.063719571024866,0.011282337152383089,0.06649925591081207,simulated,simulated,simulated,3
21115,0,1,2,3,4,5,6,7,4,0.5831479629730001,1.7234248476394427,5.001874089355646,0.01857408790925052,0.07107165030802653,simulated,simulated,simulated,2
21022,0,1,2,3,4,2,5,6,6,0.5815404493971095,1.679613379307058,4.92562835990593,0.011587621250941768,0.07358606292389325,simulated,simulated,simulated,4
21135,0,1,2,3,4,5,6,1,7,0.579797122268241,1.6761690503623081,4.865469448226647,0.012776633963074512,0.07894088451638137,simulated,simulated,simulated,3
20744,0,1,2,3,4,4,5,6,6,0.5787202524681725,1.6789702610237152,4.820832935356439,0.014556603832274275,0.0829740510349185,simulated,simulated,simulated,3
21116,0,1,2,3,4,5,6,5,7,0.5781242666133355,1.717771979860939,4.791302993700172,0.023342537813462978,0.08589836338829526,simulated,simulated,simulated,2
20856,0,1,2,3,4,2,5,6,2,0.5779075500644597,1.6688263780013792,4.791302993700172,0.013343744735016965,0.08273062347870686,simulated,simulated,simulated,3
20904,0,1,2,3,4,4,5,6,2,0.5769854280442952,1.6711490700855933,4.7473468944955375,0.014883324707494367,0.08822449191548554,simulated,simulated,simulated,4
20891,0,1,2,3,4,5,6,6,2,0.575615404269388,1.6656010802887955,4.703794054834253,0.015219449132269853,0.09137171193756222,simulated,simulated,simulated,4
