,D1_place,D2_place,D3_place,D1_goal,D2_goal,D3_goal,D1_source,D2_source,D3_source,I[U;W],I[M;W],gamma_fit,epsilon,gNID,Language,Area,LangCategory,systematicity
21228,7,8,0,6,3,2,5,4,1,0.6465674114394202,1.7530612423846796,99.6932552694414,-1.1403663910297054e-15,2.220446049250313e-16,Korean (Koreanic),asia,real,2
21343,3,8,5,2,4,0,1,7,6,0.6465674114394202,1.7530612423846796,99.6932552694414,-1.1403663910297054e-15,2.220446049250313e-16,"[OC-19]  Komnzo (Morehead-Wasur, Eastern Tonda)",oceania,real,2
21235,0,8,6,1,7,4,5,2,3,0.6465674114394202,1.7530612423846796,99.6932552694414,-1.1403663910297054e-15,2.220446049250313e-16,"[AM-18]  Inuktitut, Western Canadian (Eskimo-Aleut, Eskimo) ",americas,real,2
21360,0,8,5,7,1,4,3,6,2,0.64656741143942,1.7530612423846796,99.6932552694414,-9.978205921509922e-16,2.220446049250313e-16,"[OC-21]  Maori (Southern Cook Islands) (Austronesian, Oceanic)",oceania,real,2
21161,2,8,1,3,7,0,5,4,6,0.64656741143942,1.7530612423846796,99.6932552694414,-9.978205921509922e-16,2.220446049250313e-16,Basque,europe,real,2
21233,2,8,0,6,1,4,7,5,3,0.64656741143942,1.7530612423846799,99.6932552694414,-9.978205921509922e-16,3.3306690738754696e-16,"Khasi (Austroasiatic, Khasi-Palaung)",asia,real,2
21356,1,8,7,6,2,5,3,4,0,0.64656741143942,1.7530612423846799,99.6932552694414,-9.978205921509922e-16,2.220446049250313e-16,"[OC-49]  Yindjibarndi  (Pama-Nyungan, Pilbara)",oceania,real,2
21220,8,4,0,1,7,3,6,5,2,0.6465674114394198,1.7530612423846796,99.6932552694414,-7.127289943935658e-16,2.220446049250313e-16,"Atong (Sino-Tibetan, Brahmaputran)",asia,real,2
21349,3,5,2,0,7,4,6,1,8,0.6465674114394198,1.7530612423846796,99.6932552694414,-7.127289943935658e-16,0.0,"[OC-48]  Yidiɲ (Pama-Nyungan, Yimidhirr-Yalanji-Yidinic)",oceania,real,2
21250,0,4,3,8,1,7,6,5,2,0.6465674114394198,1.7530612423846796,99.6932552694414,-7.127289943935658e-16,2.220446049250313e-16,[AM-26]  Mapudungun (Araucanian) ,americas,real,2
21223,2,7,3,8,0,6,4,1,5,0.6465674114394198,1.7530612423846796,99.6932552694414,-7.127289943935658e-16,3.3306690738754696e-16,"Arabic, Modern Standard (Afro-Asiatic, Semitic)",asia,real,2
21244,7,3,4,8,6,5,1,2,0,0.6465674114394198,1.7530612423846799,99.6932552694414,-7.127289943935658e-16,2.220446049250313e-16,"[AM-15]  Garifuna (Arawakan, Caribbean Arawakan) ",americas,real,2
21238,4,5,7,8,3,2,1,0,6,0.6465674114394198,1.7530612423846796,99.6932552694414,-7.127289943935658e-16,2.220446049250313e-16,"[AM-21]  Kodiak Alutiiq (Eskimo-Aleut, Aleut) ",americas,real,2
21341,2,7,8,0,6,1,4,5,3,0.6465674114394198,1.7530612423846794,99.6932552694414,-7.127289943935658e-16,-2.220446049250313e-16,"[OC-8]  Djapu (Pama-Nyungan, Yuulngu) ",oceania,real,2
21313,6,4,2,7,8,1,5,0,3,0.6465674114394198,1.7530612423846799,99.6932552694414,-7.127289943935658e-16,2.220446049250313e-16,"Tamasheq, Tadraq (Afro-Asiatic, Berber)",africa,real,2
21227,0,5,1,7,4,6,3,2,8,0.6465674114394195,1.7530612423846796,98.47565676209298,-5.050790534291014e-16,2.220446049250313e-16,"Yukaghir, Kolyma (Yukaghir)",asia,real,2
21255,5,4,0,2,8,1,6,7,3,0.6465674114394195,1.7530612423846794,98.47565676209298,-5.050790534291014e-16,2.220446049250313e-16,"[AM-17]  Hualapai (Cochimi-Yuman, Yuman) ",americas,real,2
21262,1,5,6,0,3,7,4,2,8,0.6465674114394195,1.75306124238468,98.47565676209298,-5.050790534291014e-16,0.0,"Apache, San Carlos (Athabaskan-Eyak-Tlingit, Athabaskan) ",americas,real,2
21254,6,0,7,5,4,3,8,2,1,0.6465674114394195,1.7530612423846799,98.47565676209298,-5.050790534291014e-16,-2.220446049250313e-16,"[AM-24]  Lakota (Siouan, Core Siouan)",americas,real,2
21302,2,3,6,4,7,0,5,1,8,0.6465674114394195,1.7530612423846796,98.47565676209298,-5.050790534291014e-16,0.0,"Khoekhoe, Nama (Khoe-Kwadi)",africa,real,2
21167,8,7,6,5,4,0,2,3,1,0.6465674114394195,1.7530612423846796,98.47565676209298,-5.050790534291014e-16,3.3306690738754696e-16,Finnish (Uralic),europe,real,2
21252,8,1,3,4,6,7,2,0,5,0.6465674114394195,1.7530612423846799,98.47565676209298,-5.050790534291014e-16,0.0,"[AM-38]  Quechua, Yauyos (Quechuan, Central Quechua I)",americas,real,2
21183,8,0,3,6,5,7,2,4,1,0.6465674114394195,1.7530612423846799,98.47565676209298,-5.050790534291014e-16,2.220446049250313e-16,"Macedonian (Indo-European, Slavic)",europe,real,2
21271,6,8,5,2,0,4,3,1,7,0.6465674114394195,1.7530612423846796,98.47565676209298,-5.050790534291014e-16,2.220446049250313e-16,[AM-50]  Yuracaré (Yuracaré) ,americas,real,2
21329,8,1,6,3,4,5,7,2,0,0.6465674114394195,1.7530612423846799,98.47565676209298,-5.050790534291014e-16,2.220446049250313e-16,"Arrernte, Eastern (Pama-Nyungan, Aranda) ",oceania,real,2
21199,4,3,5,8,1,0,6,7,2,0.6465674114394195,1.7530612423846796,98.47565676209298,-5.050790534291014e-16,2.220446049250313e-16,Tuvinian (Turkic),asia,real,2
21342,8,6,4,1,0,7,5,3,2,0.6465674114394195,1.7530612423846796,98.47565676209298,-5.050790534291014e-16,2.220446049250313e-16,"[OC-5]  Bardi (Nyulnyulan, Western) ",oceania,real,2
21359,8,5,1,4,6,2,7,3,0,0.6465674114394195,1.7530612423846796,98.47565676209298,-5.050790534291014e-16,3.3306690738754696e-16,[OC-45]  Wardaman (Yangmanic),oceania,real,2
21214,8,6,5,3,0,4,7,2,1,0.6465674114394195,1.7530612423846796,98.47565676209298,-5.050790534291014e-16,2.220446049250313e-16,"Burushaski, Yasin (Burushaski)",asia,real,2
21350,0,6,2,3,4,5,1,8,7,0.6465674114394195,1.7530612423846796,98.47565676209298,-5.050790534291014e-16,0.0,"[OC-11]  Fijian (Austronesian, Oceanic)",oceania,real,2
21218,8,0,2,6,4,5,1,7,3,0.6465674114394195,1.7530612423846796,98.47565676209298,-5.050790534291014e-16,2.220446049250313e-16,Yugh (Yeniseian),asia,real,2
