,D1_place,D2_place,D3_place,D1_goal,D2_goal,D3_goal,D1_source,D2_source,D3_source,I[U;W],I[M;W],gamma_fit,epsilon,gNID,Language,Area,LangCategory,systematicity
21223,2,7,3,8,0,6,4,1,5,0.6803975266590858,1.7530612423846796,100.0,-4.263256414560601e-16,3.3306690738754696e-16,"Arabic, Modern Standard (Afro-Asiatic, Semitic)",asia,real,2
21313,6,4,2,7,8,1,5,0,3,0.6803975266590856,1.7530612423846799,35.402398674332666,-1.0035234367823438e-15,5.551115123125783e-16,"Tamasheq, Tadraq (Afro-Asiatic, Berber)",africa,real,2
21302,2,3,6,4,7,0,5,1,8,0.6803975266590854,1.7530612423846796,35.402398674332666,-8.02818749425875e-16,0.0,"Khoekhoe, Nama (Khoe-Kwadi)",africa,real,2
21262,1,5,6,0,3,7,4,2,8,0.6803975266590854,1.75306124238468,35.402398674332666,-8.02818749425875e-16,2.220446049250313e-16,"Apache, San Carlos (Athabaskan-Eyak-Tlingit, Athabaskan) ",americas,real,2
21345,6,1,5,4,0,3,7,8,2,0.6803975266590854,1.7530612423846796,35.402398674332666,-8.02818749425875e-16,2.220446049250313e-16,"[OC-50]  Yuwaalaraay (Pama-Nyungan, Wiradhuric)",oceania,real,2
21182,3,4,0,5,6,1,7,8,2,0.6803975266590854,1.7530612423846796,35.402398674332666,-8.02818749425875e-16,2.220446049250313e-16,Catalan,europe,real,2
21245,4,2,7,3,6,5,1,8,0,0.6803975266590854,1.7530612423846796,35.402398674332666,-8.02818749425875e-16,2.220446049250313e-16,"Arapaho (Algic, Algonquian) ",americas,real,2
21244,7,3,4,8,6,5,1,2,0,0.6803975266590854,1.7530612423846799,35.402398674332666,-8.02818749425875e-16,5.551115123125783e-16,"[AM-15]  Garifuna (Arawakan, Caribbean Arawakan) ",americas,real,2
21349,3,5,2,0,7,4,6,1,8,0.6803975266590854,1.7530612423846796,35.402398674332666,-8.02818749425875e-16,3.3306690738754696e-16,"[OC-48]  Yidiɲ (Pama-Nyungan, Yimidhirr-Yalanji-Yidinic)",oceania,real,2
21350,0,6,2,3,4,5,1,8,7,0.6803975266590854,1.7530612423846796,35.402398674332666,-8.02818749425875e-16,2.220446049250313e-16,"[OC-11]  Fijian (Austronesian, Oceanic)",oceania,real,2
21219,8,5,7,0,3,4,1,2,6,0.6803975266590854,1.7530612423846796,35.402398674332666,-8.02818749425875e-16,5.551115123125783e-16,"Mundari (Austroasiatic, Mundaic)",asia,real,2
21238,4,5,7,8,3,2,1,0,6,0.6803975266590854,1.7530612423846796,35.402398674332666,-8.02818749425875e-16,5.551115123125783e-16,"[AM-21]  Kodiak Alutiiq (Eskimo-Aleut, Aleut) ",americas,real,2
21167,8,7,6,5,4,0,2,3,1,0.6803975266590854,1.7530612423846796,35.402398674332666,-8.02818749425875e-16,5.551115123125783e-16,Finnish (Uralic),europe,real,2
21227,0,5,1,7,4,6,3,2,8,0.6803975266590854,1.7530612423846796,35.402398674332666,-8.02818749425875e-16,2.220446049250313e-16,"Yukaghir, Kolyma (Yukaghir)",asia,real,2
21145,0,1,2,3,4,5,6,7,8,0.6803975266590854,1.7530612423846796,35.402398674332666,-8.02818749425875e-16,3.3306690738754696e-16,simulated,simulated,simulated,2
21271,6,8,5,2,0,4,3,1,7,0.6803975266590854,1.7530612423846796,35.402398674332666,-8.02818749425875e-16,5.551115123125783e-16,[AM-50]  Yuracaré (Yuracaré) ,americas,real,2
21193,7,4,0,5,3,1,2,8,6,0.6803975266590854,1.7530612423846796,35.402398674332666,-8.02818749425875e-16,2.220446049250313e-16,"Bantawa (Sino-Tibetan, Kiranti)",asia,real,2
21170,4,7,2,3,1,0,8,6,5,0.6803975266590852,1.7530612423846794,35.402398674332666,-6.021140620694063e-16,2.220446049250313e-16,"German (Indo-European, Germanic)",europe,real,2
21255,5,4,0,2,8,1,6,7,3,0.6803975266590852,1.7530612423846794,35.402398674332666,-6.021140620694063e-16,5.551115123125783e-16,"[AM-17]  Hualapai (Cochimi-Yuman, Yuman) ",americas,real,2
21166,1,7,3,6,2,5,0,8,4,0.6803975266590852,1.7530612423846794,35.402398674332666,-6.021140620694063e-16,2.220446049250313e-16,"Old Church Slavonic (Indo-European, Slavic)",europe,real,2
21270,2,6,5,7,0,4,3,8,1,0.6803975266590852,1.7530612423846796,35.402398674332666,-6.021140620694063e-16,2.220446049250313e-16,"[AM-44]  Trio (Cariban, Guianan)",americas,real,2
21284,3,0,5,4,7,2,8,1,6,0.6803975266590852,1.7530612423846794,35.402398674332666,-6.021140620694063e-16,2.220446049250313e-16,"Hausa (Afro-Asiatic, Chadic)",africa,real,2
21259,7,0,4,3,1,8,2,5,6,0.6803975266590852,1.7530612423846794,35.402398674332666,-6.021140620694063e-16,2.220446049250313e-16,"[AM-20]  Klamath (Penutian, Klamath-Modoc) ",americas,real,2
21341,2,7,8,0,6,1,4,5,3,0.6803975266590852,1.7530612423846794,35.402398674332666,-6.021140620694063e-16,2.220446049250313e-16,"[OC-8]  Djapu (Pama-Nyungan, Yuulngu) ",oceania,real,2
21294,1,3,7,2,4,8,5,6,0,0.6803975266590852,1.7530612423846794,35.402398674332666,-6.021140620694063e-16,2.220446049250313e-16,"Ngizim (Afro-Asiatic, Chadic)",africa,real,2
21250,0,4,3,8,1,7,6,5,2,0.6803975266590849,1.7530612423846796,35.402398674332666,-3.0105703103470314e-16,5.551115123125783e-16,[AM-26]  Mapudungun (Araucanian) ,americas,real,2
21233,2,8,0,6,1,4,7,5,3,0.6803975266590849,1.7530612423846799,35.402398674332666,-3.0105703103470314e-16,6.661338147750939e-16,"Khasi (Austroasiatic, Khasi-Palaung)",asia,real,2
21228,7,8,0,6,3,2,5,4,1,0.6803975266590849,1.7530612423846796,35.402398674332666,-3.0105703103470314e-16,5.551115123125783e-16,Korean (Koreanic),asia,real,2
21362,7,8,0,2,4,3,6,5,1,0.6803975266590849,1.7530612423846796,35.402398674332666,-3.0105703103470314e-16,5.551115123125783e-16,"[OC-47]  Yawuru (Nyulnyulan, Eastern)",oceania,real,2
21235,0,8,6,1,7,4,5,2,3,0.6803975266590849,1.7530612423846796,35.402398674332666,-3.0105703103470314e-16,5.551115123125783e-16,"[AM-18]  Inuktitut, Western Canadian (Eskimo-Aleut, Eskimo) ",americas,real,2
21360,0,8,5,7,1,4,3,6,2,0.6803975266590849,1.7530612423846796,35.402398674332666,-3.0105703103470314e-16,5.551115123125783e-16,"[OC-21]  Maori (Southern Cook Islands) (Austronesian, Oceanic)",oceania,real,2
21161,2,8,1,3,7,0,5,4,6,0.6803975266590849,1.7530612423846796,35.402398674332666,-3.0105703103470314e-16,5.551115123125783e-16,Basque,europe,real,2
21359,8,5,1,4,6,2,7,3,0,0.6803975266590849,1.7530612423846796,35.402398674332666,-3.0105703103470314e-16,5.551115123125783e-16,[OC-45]  Wardaman (Yangmanic),oceania,real,2
21356,1,8,7,6,2,5,3,4,0,0.6803975266590849,1.7530612423846799,35.402398674332666,-3.0105703103470314e-16,5.551115123125783e-16,"[OC-49]  Yindjibarndi  (Pama-Nyungan, Pilbara)",oceania,real,2
21220,8,4,0,1,7,3,6,5,2,0.6803975266590849,1.7530612423846796,35.402398674332666,-3.0105703103470314e-16,5.551115123125783e-16,"Atong (Sino-Tibetan, Brahmaputran)",asia,real,2
21352,6,8,4,2,3,0,7,1,5,0.6803975266590849,1.7530612423846796,35.402398674332666,-3.0105703103470314e-16,5.551115123125783e-16,[OC-28]  Ngan'gityemerri (Southern Daly),oceania,real,2
21329,8,1,6,3,4,5,7,2,0,0.6803975266590849,1.7530612423846799,35.402398674332666,-3.0105703103470314e-16,5.551115123125783e-16,"Arrernte, Eastern (Pama-Nyungan, Aranda) ",oceania,real,2
21218,8,0,2,6,4,5,1,7,3,0.6803975266590849,1.7530612423846796,35.402398674332666,-3.0105703103470314e-16,5.551115123125783e-16,Yugh (Yeniseian),asia,real,2
21183,8,0,3,6,5,7,2,4,1,0.6803975266590849,1.7530612423846799,35.402398674332666,-3.0105703103470314e-16,2.220446049250313e-16,"Macedonian (Indo-European, Slavic)",europe,real,2
21214,8,6,5,3,0,4,7,2,1,0.6803975266590849,1.7530612423846796,35.402398674332666,-3.0105703103470314e-16,5.551115123125783e-16,"Burushaski, Yasin (Burushaski)",asia,real,2
21343,3,8,5,2,4,0,1,7,6,0.6803975266590849,1.7530612423846796,35.402398674332666,-3.0105703103470314e-16,5.551115123125783e-16,"[OC-19]  Komnzo (Morehead-Wasur, Eastern Tonda)",oceania,real,2
21342,8,6,4,1,0,7,5,3,2,0.6803975266590849,1.7530612423846796,35.402398674332666,-3.0105703103470314e-16,5.551115123125783e-16,"[OC-5]  Bardi (Nyulnyulan, Western) ",oceania,real,2
21336,6,1,2,8,0,4,5,7,3,0.6803975266590849,1.7530612423846799,35.402398674332666,-3.0105703103470314e-16,5.551115123125783e-16,[OC-17]  Jingulu (Mirndi),oceania,real,2
21254,6,0,7,5,4,3,8,2,1,0.6803975266590849,1.7530612423846799,35.402398674332666,-3.0105703103470314e-16,2.220446049250313e-16,"[AM-24]  Lakota (Siouan, Core Siouan)",americas,real,2
21252,8,1,3,4,6,7,2,0,5,0.6803975266590849,1.7530612423846799,35.402398674332666,-3.0105703103470314e-16,2.220446049250313e-16,"[AM-38]  Quechua, Yauyos (Quechuan, Central Quechua I)",americas,real,2
21199,4,3,5,8,1,0,6,7,2,0.6803975266590849,1.7530612423846796,35.402398674332666,-3.0105703103470314e-16,3.3306690738754696e-16,Tuvinian (Turkic),asia,real,2
21187,3,2,1,6,7,0,8,5,4,0.6803975266590847,1.7530612423846794,35.402398674332666,-1.0035234367823438e-16,2.220446049250313e-16,Turkish (Turkic),europe,real,2
21231,5,7,8,6,1,2,4,0,3,0.6803975266590847,1.7530612423846794,35.402398674332666,-1.0035234367823438e-16,2.220446049250313e-16,Ainu (Ainu),asia,real,2
21232,6,7,1,4,3,8,5,0,2,0.6803975266590847,1.7530612423846794,35.402398674332666,-1.0035234367823438e-16,2.220446049250313e-16,"Mualang (Austronesian, Malayo-Sumbawan)",asia,real,2
21279,2,7,3,5,1,8,4,0,6,0.6803975266590843,1.7530612423846796,35.402398674332666,3.0105703103470314e-16,5.551115123125783e-16,"Yoruba (Atlantic-Congo, Defoid)",africa,real,2
