,D1_place,D2_place,D3_place,D1_goal,D2_goal,D3_goal,D1_source,D2_source,D3_source,I[U;W],I[M;W],gamma_fit,epsilon,gNID,Language,Area,LangCategory,systematicity
21197,8,4,5,0,2,1,3,6,7,0.5581387341054047,1.7530612423846796,100.0,-9.237055564881303e-16,2.220446049250313e-16,"Mualang (Austronesian, Malayo-Sumbawan)",asia,real,2
21191,0,7,3,2,1,5,6,8,4,0.5581387341054045,1.7530612423846799,100.0,-7.105427357601002e-16,0.0,"German (Indo-European, Germanic)",europe,real,2
21200,3,0,2,4,1,7,8,6,5,0.5581387341054043,1.7530612423846796,49.9419670474149,-1.2093262662695771e-15,2.4424906541753444e-15,"Yukaghir, Kolyma (Yukaghir)",asia,real,2
21174,7,8,1,5,2,3,0,4,6,0.5581387341054043,1.7530612423846796,49.9419670474149,-1.2093262662695771e-15,2.1094237467877974e-15,Basque,europe,real,2
21296,4,0,5,8,2,6,7,1,3,0.5581387341054043,1.7530612423846796,49.9419670474149,-1.2093262662695771e-15,2.1094237467877974e-15,"Hausa (Afro-Asiatic, Chadic)",africa,real,2
21202,8,7,6,2,1,4,0,5,3,0.5581387341054043,1.7530612423846796,49.9419670474149,-1.2093262662695771e-15,2.1094237467877974e-15,Korean (Koreanic),asia,real,2
21255,6,5,1,2,0,4,8,7,3,0.5581387341054043,1.7530612423846794,49.9419670474149,-1.2093262662695771e-15,2.6645352591003757e-15,"[AM-18]  Inuktitut, Western Canadian (Eskimo-Aleut, Eskimo) ",americas,real,2
21332,0,8,3,5,6,1,7,4,2,0.5581387341054043,1.7530612423846796,49.9419670474149,-1.2093262662695771e-15,2.3314683517128287e-15,[OC-45]  Wardaman (Yangmanic),oceania,real,2
21349,6,4,3,8,1,0,2,5,7,0.5581387341054043,1.7530612423846799,49.9419670474149,-1.2093262662695771e-15,2.4424906541753444e-15,"[OC-8]  Djapu (Pama-Nyungan, Yuulngu) ",oceania,real,2
21212,6,3,5,1,8,4,0,7,2,0.5581387341054043,1.7530612423846794,49.9419670474149,-1.2093262662695771e-15,2.6645352591003757e-15,"Khasi (Austroasiatic, Khasi-Palaung)",asia,real,2
21328,3,8,5,6,0,1,7,4,2,0.5581387341054043,1.7530612423846796,49.9419670474149,-1.2093262662695771e-15,2.3314683517128287e-15,"[OC-50]  Yuwaalaraay (Pama-Nyungan, Wiradhuric)",oceania,real,2
21257,0,8,3,1,2,5,7,6,4,0.5581387341054043,1.7530612423846799,49.9419670474149,-1.2093262662695771e-15,2.1094237467877974e-15,"[AM-15]  Garifuna (Arawakan, Caribbean Arawakan) ",americas,real,2
21359,3,7,4,5,8,1,6,2,0,0.5581387341054043,1.7530612423846796,49.9419670474149,-1.2093262662695771e-15,2.1094237467877974e-15,"Arrernte, Eastern (Pama-Nyungan, Aranda) ",oceania,real,2
21239,2,4,8,0,6,5,7,3,1,0.5581387341054043,1.7530612423846794,49.9419670474149,-1.2093262662695771e-15,1.887379141862766e-15,[AM-26]  Mapudungun (Araucanian) ,americas,real,2
21278,6,3,7,8,1,2,4,5,0,0.5581387341054043,1.7530612423846796,49.9419670474149,-1.2093262662695771e-15,2.4424906541753444e-15,"Yoruba (Atlantic-Congo, Defoid)",africa,real,2
21258,1,2,5,8,4,7,3,6,0,0.5581387341054043,1.7530612423846799,49.9419670474149,-1.2093262662695771e-15,2.7755575615628914e-15,"Arapaho (Algic, Algonquian) ",americas,real,2
21160,2,6,0,5,3,4,7,8,1,0.558138734105404,1.7530612423846799,49.9419670474149,-9.95915748692593e-16,2.3314683517128287e-15,"Macedonian (Indo-European, Slavic)",europe,real,2
21228,0,7,1,4,2,5,6,8,3,0.558138734105404,1.7530612423846799,49.9419670474149,-9.95915748692593e-16,2.4424906541753444e-15,"Atong (Sino-Tibetan, Brahmaputran)",asia,real,2
21331,5,3,2,0,6,1,7,8,4,0.558138734105404,1.7530612423846799,49.9419670474149,-9.95915748692593e-16,2.6645352591003757e-15,"[OC-21]  Maori (Southern Cook Islands) (Austronesian, Oceanic)",oceania,real,2
21343,6,3,4,7,2,8,5,1,0,0.558138734105404,1.7530612423846794,49.9419670474149,-9.95915748692593e-16,2.3314683517128287e-15,"[OC-47]  Yawuru (Nyulnyulan, Eastern)",oceania,real,2
21233,7,6,3,2,5,1,0,4,8,0.5581387341054038,1.7530612423846796,49.9419670474149,-7.825052311156087e-16,2.4424906541753444e-15,Ainu (Ainu),asia,real,2
21326,7,4,2,5,3,1,0,6,8,0.5581387341054038,1.7530612423846792,49.9419670474149,-7.825052311156087e-16,2.4424906541753444e-15,"[OC-48]  Yidiɲ (Pama-Nyungan, Yimidhirr-Yalanji-Yidinic)",oceania,real,2
21324,8,6,2,7,5,1,3,4,0,0.5581387341054038,1.7530612423846796,49.9419670474149,-7.825052311156087e-16,2.4424906541753444e-15,"[OC-5]  Bardi (Nyulnyulan, Western) ",oceania,real,2
21333,0,4,8,3,1,7,5,6,2,0.5581387341054038,1.7530612423846796,49.9419670474149,-7.825052311156087e-16,2.1094237467877974e-15,[OC-17]  Jingulu (Mirndi),oceania,real,2
21241,3,1,8,7,2,5,4,6,0,0.5581387341054038,1.7530612423846796,49.9419670474149,-7.825052311156087e-16,2.4424906541753444e-15,[AM-50]  Yuracaré (Yuracaré) ,americas,real,2
21226,3,7,2,6,5,1,8,4,0,0.5581387341054038,1.7530612423846794,49.9419670474149,-7.825052311156087e-16,2.3314683517128287e-15,Tuvinian (Turkic),asia,real,2
21318,7,3,8,2,6,0,1,4,5,0.5581387341054038,1.7530612423846794,49.9419670474149,-7.825052311156087e-16,2.4424906541753444e-15,"Tamasheq, Tadraq (Afro-Asiatic, Berber)",africa,real,2
21249,5,6,3,2,1,0,7,8,4,0.5581387341054038,1.7530612423846799,49.9419670474149,-7.825052311156087e-16,2.4424906541753444e-15,"[AM-44]  Trio (Cariban, Guianan)",americas,real,2
21237,3,7,5,0,2,1,6,4,8,0.5581387341054038,1.75306124238468,49.9419670474149,-7.113683919232806e-16,2.4424906541753444e-15,"[AM-17]  Hualapai (Cochimi-Yuman, Yuman) ",americas,real,2
21163,2,6,1,5,3,4,0,7,8,0.5581387341054038,1.7530612423846796,49.9419670474149,-7.825052311156087e-16,2.4424906541753444e-15,Finnish (Uralic),europe,real,2
21157,7,5,4,0,8,1,2,3,6,0.5581387341054038,1.7530612423846796,49.9419670474149,-7.825052311156087e-16,2.4424906541753444e-15,Turkish (Turkic),europe,real,2
21291,6,7,1,2,8,5,4,3,0,0.5581387341054038,1.7530612423846794,49.9419670474149,-7.825052311156087e-16,2.1094237467877974e-15,"Ngizim (Afro-Asiatic, Chadic)",africa,real,2
21196,3,1,8,6,0,7,5,4,2,0.5581387341054038,1.7530612423846796,49.9419670474149,-7.825052311156087e-16,2.4424906541753444e-15,"Bantawa (Sino-Tibetan, Kiranti)",asia,real,2
21193,2,0,8,4,1,3,6,5,7,0.5581387341054038,1.7530612423846794,49.9419670474149,-7.825052311156087e-16,1.887379141862766e-15,"Mundari (Austroasiatic, Mundaic)",asia,real,2
21180,7,4,2,5,3,0,1,6,8,0.5581387341054038,1.7530612423846792,49.9419670474149,-7.825052311156087e-16,2.4424906541753444e-15,"Old Church Slavonic (Indo-European, Slavic)",europe,real,2
21262,7,5,6,3,4,1,0,2,8,0.5581387341054038,1.75306124238468,49.9419670474149,-7.113683919232806e-16,2.4424906541753444e-15,"[AM-21]  Kodiak Alutiiq (Eskimo-Aleut, Aleut) ",americas,real,2
21276,3,1,6,5,2,7,0,4,8,0.5581387341054038,1.7530612423846796,49.9419670474149,-7.825052311156087e-16,2.4424906541753444e-15,"[AM-38]  Quechua, Yauyos (Quechuan, Central Quechua I)",americas,real,2
21353,2,3,8,5,4,1,0,7,6,0.5581387341054038,1.7530612423846794,49.9419670474149,-7.825052311156087e-16,2.6645352591003757e-15,[OC-28]  Ngan'gityemerri (Southern Daly),oceania,real,2
21145,0,1,2,3,4,5,6,7,8,0.5581387341054038,1.7530612423846796,49.9419670474149,-7.825052311156087e-16,2.4424906541753444e-15,simulated,simulated,simulated,2
21270,3,0,6,5,7,4,1,8,2,0.5581387341054038,1.7530612423846796,49.9419670474149,-7.825052311156087e-16,2.4424906541753444e-15,"Apache, San Carlos (Athabaskan-Eyak-Tlingit, Athabaskan) ",americas,real,2
21149,0,7,5,3,4,6,2,8,1,0.5581387341054038,1.7530612423846799,49.9419670474149,-7.825052311156087e-16,2.4424906541753444e-15,Catalan,europe,real,2
21250,1,4,3,7,2,8,6,0,5,0.5581387341054036,1.7530612423846794,49.9419670474149,-5.690947135386245e-16,2.1094237467877974e-15,"[AM-20]  Klamath (Penutian, Klamath-Modoc) ",americas,real,2
21211,3,2,8,1,4,5,7,0,6,0.5581387341054036,1.7530612423846796,49.9419670474149,-5.690947135386245e-16,2.4424906541753444e-15,Yugh (Yeniseian),asia,real,2
21325,1,3,8,6,4,7,5,2,0,0.5581387341054036,1.7530612423846794,49.9419670474149,-5.690947135386245e-16,2.1094237467877974e-15,"[OC-19]  Komnzo (Morehead-Wasur, Eastern Tonda)",oceania,real,2
21336,6,7,2,1,4,8,5,3,0,0.5581387341054036,1.7530612423846794,49.9419670474149,-5.690947135386245e-16,2.4424906541753444e-15,"[OC-49]  Yindjibarndi  (Pama-Nyungan, Pilbara)",oceania,real,2
21352,1,4,8,5,2,3,7,6,0,0.5581387341054036,1.7530612423846794,49.9419670474149,-5.690947135386245e-16,2.3314683517128287e-15,"[OC-11]  Fijian (Austronesian, Oceanic)",oceania,real,2
21199,2,3,0,6,8,4,1,7,5,0.5581387341054036,1.7530612423846794,49.9419670474149,-5.690947135386245e-16,2.4424906541753444e-15,"Burushaski, Yasin (Burushaski)",asia,real,2
21224,7,0,8,3,4,6,2,5,1,0.5581387341054036,1.7530612423846794,49.9419670474149,-5.690947135386245e-16,2.3314683517128287e-15,"Arabic, Modern Standard (Afro-Asiatic, Semitic)",asia,real,2
21252,6,3,1,5,2,8,7,4,0,0.5581387341054036,1.7530612423846794,49.9419670474149,-5.690947135386245e-16,2.3314683517128287e-15,"[AM-24]  Lakota (Siouan, Core Siouan)",americas,real,2
21301,1,6,3,7,4,2,0,5,8,0.5581387341054034,1.7530612423846792,49.9419670474149,-3.556841959616403e-16,2.4424906541753444e-15,"Khoekhoe, Nama (Khoe-Kwadi)",africa,real,2
21351,6,4,7,2,0,5,3,1,1,0.5508920435536226,1.7315367249259905,6.779861371196354,0.005385820015983225,0.03351530963884586,[OC-25]  Maybrat (Maybrat-Karon) ,oceania,real,3
21128,0,1,2,3,4,5,6,7,7,0.5508920435536226,1.7315367249259905,6.779861371196354,0.005385820015983225,0.03351530963884597,simulated,simulated,simulated,3
21132,0,1,2,3,4,5,6,7,2,0.5505520430529165,1.7237155339878687,6.7383314295008745,0.004599288521138458,0.0341523998016654,simulated,simulated,simulated,3
21339,5,6,3,7,1,0,2,4,0,0.547196673766807,1.7324645287147373,6.297953739957849,0.009774528447997671,0.04731967903413814,[OC-27]  Motuna (South Bougainville),oceania,real,3
21357,0,3,2,4,6,1,5,7,1,0.5471966737668066,1.732464528714737,6.297953739957849,0.00977452844799806,0.04731967903413814,"[OC-30]  Orokaiva (Trans-New Guinea, Binanderean)",oceania,real,3
21136,0,1,2,3,4,5,6,7,5,0.5471966737668066,1.732464528714737,6.297953739957849,0.00977452844799806,0.04731967903413836,simulated,simulated,simulated,3
21230,6,5,7,1,2,7,4,0,3,0.5459004407718775,1.7011378967657471,6.163961345942856,0.006216344566955126,0.04998484247617474,"Limbu (Sino-Tibetan, Kiranti)",asia,real,3
21272,7,4,6,3,5,6,1,2,0,0.5459004407718775,1.701137896765747,6.163961345942856,0.00621634456695509,0.04998484247617507,"[AM-10] Comanche (Uto-Aztecan, Numic) ",americas,real,3
21217,3,1,6,0,2,6,7,4,5,0.5459004407718775,1.701137896765747,6.163961345942856,0.00621634456695509,0.04998484247617496,"Bengali (Indo-European, Indo-Iranian)",asia,real,3
21119,0,1,2,3,4,2,5,6,7,0.5459004407718775,1.7011378967657471,6.163961345942856,0.006216344566955126,0.04998484247617496,simulated,simulated,simulated,3
21112,0,1,2,3,4,5,6,7,1,0.5412951826100447,1.7151733889482903,5.814463828191356,0.013740971238684093,0.06814948332243176,simulated,simulated,simulated,2
21122,0,1,2,3,4,4,5,6,7,0.5404765698946592,1.700494778482404,5.761121105097078,0.012141937893852227,0.0709885172566439,simulated,simulated,simulated,3
21109,0,1,2,3,4,5,6,7,6,0.540161159267839,1.7226332090954124,5.743449169686093,0.01634942587859156,0.07172784028102774,simulated,simulated,simulated,3
21340,2,1,4,3,7,5,0,6,0,0.5401611592678386,1.7226332090954126,5.743449169686093,0.016349425878592064,0.07172784028102774,"Abui (Timor-Alor-Pantar, Alor) ",oceania,real,3
21121,0,1,2,3,4,5,6,6,7,0.5391065461197508,1.6949467886856064,5.673301845103896,0.012731593746868773,0.0757037028290597,simulated,simulated,simulated,3
21115,0,1,2,3,4,5,6,7,4,0.5390866615494503,1.7234248476394427,5.673301845103896,0.017771140540573348,0.07552569695095923,simulated,simulated,simulated,2
21022,0,1,2,3,4,2,5,6,6,0.5386537502200952,1.679613379307058,5.638550117605603,0.010545149993121138,0.07426640360996528,simulated,simulated,simulated,4
21135,0,1,2,3,4,5,6,1,7,0.5379981346115965,1.6761690503623081,5.604011261305967,0.010653775618165665,0.07760770971216191,simulated,simulated,simulated,3
20856,0,1,2,3,4,2,5,6,2,0.5366283480081182,1.6688263780013792,5.535566954532269,0.010837690712990393,0.07933772879085799,simulated,simulated,simulated,3
21116,0,1,2,3,4,5,6,5,7,0.5342756055736209,1.717771979860939,5.417794754371106,0.02248588687835065,0.09159902054209412,simulated,simulated,simulated,2
20744,0,1,2,3,4,4,5,6,6,0.5332298793428765,1.6789702610237152,5.368091130115531,0.01651719896081428,0.09571395577306452,simulated,simulated,simulated,3
20904,0,1,2,3,4,4,5,6,2,0.5328898788421714,1.6711490700855933,5.351624793442321,0.015447498146296723,0.0957823660879692,simulated,simulated,simulated,4
20891,0,1,2,3,4,5,6,6,2,0.5315198550672631,1.6656010802887955,5.3025282218759155,0.015921037029733073,0.09930863518982525,simulated,simulated,simulated,4
21049,0,1,2,3,4,5,6,1,2,0.5304114435591083,1.6468233419654972,5.253882069281806,0.013607876910801751,0.10025624034390057,simulated,simulated,simulated,3
21129,0,1,2,3,4,5,6,2,7,0.5299365756314067,1.697586897217753,5.237766062884521,0.0238172388281177,0.10543087090378922,simulated,simulated,simulated,2
21141,0,1,2,3,4,5,6,7,0,0.5295336513252289,1.7063859989847372,5.221699491487638,0.02597916077362923,0.10685097982734615,simulated,simulated,simulated,2
21067,0,1,2,3,4,2,5,6,1,0.5290568892765175,1.6632500433293578,5.205682203451895,0.018250206750665226,0.10381741219682938,simulated,simulated,simulated,3
21143,0,1,2,3,4,5,6,7,3,0.5284350616222402,1.71371628869685,5.173794873231099,0.028741088814182088,0.11032090503960645,simulated,simulated,simulated,2
21242,4,5,3,2,0,7,6,0,1,0.5283259792780883,1.696880369355155,5.173794873231099,0.025596095619158064,0.10957622328895711,Bora (Boran),americas,real,3
21118,0,1,2,3,4,5,6,4,7,0.5283259792780883,1.696880369355155,5.173794873231099,0.025596095619158064,0.10957622328895689,simulated,simulated,simulated,3
21271,1,3,2,7,5,4,0,5,6,0.5283259792780881,1.696880369355155,5.173794873231099,0.025596095619158234,0.10957622328895711,"[AM-47]  Yaqui (Uto-Aztecan, Cahitan)",americas,real,3
21081,0,1,2,3,4,5,6,6,5,0.5281644857811532,1.674350075015664,5.173794873231099,0.021402894952228732,0.11037108779805227,simulated,simulated,simulated,4
