,D1_place,D2_place,D3_place,D1_goal,D2_goal,D3_goal,D1_source,D2_source,D3_source,I[U;W],I[M;W],gamma_fit,epsilon,gNID,Language,Area,LangCategory,systematicity
21331,5,3,2,0,6,1,7,8,4,0.5744338694792368,1.7530612423846799,46.392128234860515,-1.6847621333069033e-15,4.5075054799781356e-14,"[OC-21]  Maori (Southern Cook Islands) (Austronesian, Oceanic)",oceania,real,2
21228,0,7,1,4,2,5,6,8,3,0.5744338694792368,1.7530612423846799,46.392128234860515,-1.6847621333069033e-15,4.5075054799781356e-14,"Atong (Sino-Tibetan, Brahmaputran)",asia,real,2
21270,3,0,6,5,7,4,1,8,2,0.5744338694792366,1.7530612423846796,46.392128234860515,-1.4550218424014164e-15,4.5075054799781356e-14,"Apache, San Carlos (Athabaskan-Eyak-Tlingit, Athabaskan) ",americas,real,2
21349,6,4,3,8,1,0,2,5,7,0.5744338694792366,1.7530612423846799,46.392128234860515,-1.4550218424014164e-15,4.496403249731884e-14,"[OC-8]  Djapu (Pama-Nyungan, Yuulngu) ",oceania,real,2
21352,1,4,8,5,2,3,7,6,0,0.5744338694792364,1.7530612423846794,46.392128234860515,-1.2252815514959297e-15,4.496403249731884e-14,"[OC-11]  Fijian (Austronesian, Oceanic)",oceania,real,2
21149,0,7,5,3,4,6,2,8,1,0.5744338694792364,1.7530612423846799,46.392128234860515,-1.2252815514959297e-15,4.496403249731884e-14,Catalan,europe,real,2
21343,6,3,4,7,2,8,5,1,0,0.5744338694792364,1.7530612423846794,46.392128234860515,-1.2252815514959297e-15,4.496403249731884e-14,"[OC-47]  Yawuru (Nyulnyulan, Eastern)",oceania,real,2
21202,8,7,6,2,1,4,0,5,3,0.5744338694792361,1.7530612423846796,46.392128234860515,-9.955412605904428e-16,4.5075054799781356e-14,Korean (Koreanic),asia,real,2
21278,6,3,7,8,1,2,4,5,0,0.5744338694792361,1.7530612423846796,46.392128234860515,-9.955412605904428e-16,4.5075054799781356e-14,"Yoruba (Atlantic-Congo, Defoid)",africa,real,2
21145,0,1,2,3,4,5,6,7,8,0.5744338694792361,1.7530612423846796,46.392128234860515,-9.955412605904428e-16,4.496403249731884e-14,simulated,simulated,simulated,2
21296,4,0,5,8,2,6,7,1,3,0.5744338694792361,1.7530612423846796,46.392128234860515,-9.955412605904428e-16,4.5075054799781356e-14,"Hausa (Afro-Asiatic, Chadic)",africa,real,2
21163,2,6,1,5,3,4,0,7,8,0.5744338694792361,1.7530612423846796,46.392128234860515,-9.955412605904428e-16,4.496403249731884e-14,Finnish (Uralic),europe,real,2
21258,1,2,5,8,4,7,3,6,0,0.5744338694792361,1.7530612423846799,46.392128234860515,-9.955412605904428e-16,4.5075054799781356e-14,"Arapaho (Algic, Algonquian) ",americas,real,2
21333,0,4,8,3,1,7,5,6,2,0.5744338694792361,1.7530612423846796,46.392128234860515,-9.955412605904428e-16,4.463096558993129e-14,[OC-17]  Jingulu (Mirndi),oceania,real,2
21197,8,4,5,0,2,1,3,6,7,0.5744338694792361,1.7530612423846796,46.392128234860515,-9.955412605904428e-16,4.5075054799781356e-14,"Mualang (Austronesian, Malayo-Sumbawan)",asia,real,2
21257,0,8,3,1,2,5,7,6,4,0.5744338694792361,1.7530612423846799,46.392128234860515,-9.955412605904428e-16,4.529709940470639e-14,"[AM-15]  Garifuna (Arawakan, Caribbean Arawakan) ",americas,real,2
21332,0,8,3,5,6,1,7,4,2,0.5744338694792361,1.7530612423846796,46.392128234860515,-9.955412605904428e-16,4.5075054799781356e-14,[OC-45]  Wardaman (Yangmanic),oceania,real,2
21324,8,6,2,7,5,1,3,4,0,0.5744338694792361,1.7530612423846796,46.392128234860515,-9.955412605904428e-16,4.5075054799781356e-14,"[OC-5]  Bardi (Nyulnyulan, Western) ",oceania,real,2
21249,5,6,3,2,1,0,7,8,4,0.5744338694792361,1.7530612423846799,46.392128234860515,-9.955412605904428e-16,4.496403249731884e-14,"[AM-44]  Trio (Cariban, Guianan)",americas,real,2
21174,7,8,1,5,2,3,0,4,6,0.5744338694792361,1.7530612423846796,46.392128234860515,-9.955412605904428e-16,4.496403249731884e-14,Basque,europe,real,2
21241,3,1,8,7,2,5,4,6,0,0.5744338694792361,1.7530612423846796,46.392128234860515,-9.955412605904428e-16,4.5075054799781356e-14,[AM-50]  Yuracaré (Yuracaré) ,americas,real,2
21239,2,4,8,0,6,5,7,3,1,0.5744338694792361,1.7530612423846794,46.392128234860515,-9.955412605904428e-16,4.5075054799781356e-14,[AM-26]  Mapudungun (Araucanian) ,americas,real,2
