,D1_place,D2_place,D3_place,D1_goal,D2_goal,D3_goal,D1_source,D2_source,D3_source,I[U;W],I[M;W],gamma_fit,epsilon,gNID,Language,Area,LangCategory,systematicity
21255,6,5,1,2,0,4,8,7,3,0.6171182032245768,1.7530612423846794,99.08258569198337,-5.019851990724869e-16,-2.220446049250313e-16,"[AM-18]  Inuktitut, Western Canadian (Eskimo-Aleut, Eskimo) ",americas,real,2
21296,4,0,5,8,2,6,7,1,3,0.6171182032245768,1.7530612423846796,99.08258569198337,-5.019851990724869e-16,2.220446049250313e-16,"Hausa (Afro-Asiatic, Chadic)",africa,real,2
21228,0,7,1,4,2,5,6,8,3,0.6171182032245768,1.7530612423846799,99.08258569198337,-5.019851990724869e-16,0.0,"Atong (Sino-Tibetan, Brahmaputran)",asia,real,2
21257,0,8,3,1,2,5,7,6,4,0.6171182032245768,1.7530612423846799,99.08258569198337,-5.019851990724869e-16,2.220446049250313e-16,"[AM-15]  Garifuna (Arawakan, Caribbean Arawakan) ",americas,real,2
21239,2,4,8,0,6,5,7,3,1,0.6171182032245766,1.7530612423846794,37.300484789831216,-9.524577760364752e-16,3.441691376337985e-14,[AM-26]  Mapudungun (Araucanian) ,americas,real,2
21212,6,3,5,1,8,4,0,7,2,0.6171182032245766,1.7530612423846794,37.300484789831216,-9.524577760364752e-16,3.47499806707674e-14,"Khasi (Austroasiatic, Khasi-Palaung)",asia,real,2
21237,3,7,5,0,2,1,6,4,8,0.6171182032245766,1.75306124238468,37.186067518265595,-9.553883795471051e-16,3.83026943495679e-14,"[AM-17]  Hualapai (Cochimi-Yuman, Yuman) ",americas,real,2
21249,5,6,3,2,1,0,7,8,4,0.6171182032245766,1.7530612423846799,37.300484789831216,-9.524577760364752e-16,3.497202527569243e-14,"[AM-44]  Trio (Cariban, Guianan)",americas,real,2
21333,0,4,8,3,1,7,5,6,2,0.6171182032245766,1.7530612423846796,37.300484789831216,-9.524577760364752e-16,3.441691376337985e-14,[OC-17]  Jingulu (Mirndi),oceania,real,2
21278,6,3,7,8,1,2,4,5,0,0.6171182032245763,1.7530612423846796,37.186067518265595,-7.643107036376841e-16,3.83026943495679e-14,"Yoruba (Atlantic-Congo, Defoid)",africa,real,2
21149,0,7,5,3,4,6,2,8,1,0.6171182032245763,1.7530612423846799,37.186067518265595,-7.643107036376841e-16,3.83026943495679e-14,Catalan,europe,real,2
21193,2,0,8,4,1,3,6,5,7,0.6171182032245763,1.7530612423846794,37.186067518265595,-7.643107036376841e-16,3.83026943495679e-14,"Mundari (Austroasiatic, Mundaic)",asia,real,2
21332,0,8,3,5,6,1,7,4,2,0.6171182032245763,1.7530612423846796,37.186067518265595,-7.643107036376841e-16,3.808064974464287e-14,[OC-45]  Wardaman (Yangmanic),oceania,real,2
21328,3,8,5,6,0,1,7,4,2,0.6171182032245763,1.7530612423846796,37.186067518265595,-7.643107036376841e-16,3.808064974464287e-14,"[OC-50]  Yuwaalaraay (Pama-Nyungan, Wiradhuric)",oceania,real,2
21199,2,3,0,6,8,4,1,7,5,0.6171182032245763,1.7530612423846794,37.186067518265595,-7.643107036376841e-16,3.83026943495679e-14,"Burushaski, Yasin (Burushaski)",asia,real,2
21191,0,7,3,2,1,5,6,8,4,0.6171182032245763,1.7530612423846799,37.186067518265595,-7.643107036376841e-16,3.83026943495679e-14,"German (Indo-European, Germanic)",europe,real,2
21163,2,6,1,5,3,4,0,7,8,0.6171182032245763,1.7530612423846796,37.186067518265595,-7.643107036376841e-16,3.808064974464287e-14,Finnish (Uralic),europe,real,2
21262,7,5,6,3,4,1,0,2,8,0.6171182032245763,1.75306124238468,37.186067518265595,-7.643107036376841e-16,3.808064974464287e-14,"[AM-21]  Kodiak Alutiiq (Eskimo-Aleut, Aleut) ",americas,real,2
21258,1,2,5,8,4,7,3,6,0,0.6171182032245763,1.7530612423846799,37.186067518265595,-7.643107036376841e-16,3.83026943495679e-14,"Arapaho (Algic, Algonquian) ",americas,real,2
