,D1_place,D2_place,D3_place,D1_goal,D2_goal,D3_goal,D1_source,D2_source,D3_source,I[U;W],I[M;W],MI_Objective,grammar_complexity,Language,Area,LangCategory
21209,5,4,6,7,2,1,8,0,3,3.051543776200205e-05,1.7190305530385765,1.7189695221630525,2___1___9,Tuvinian (Turkic),asia,real
21177,5,4,2,8,1,7,3,0,6,3.051543776200205e-05,1.7190305530385763,1.7189695221630523,2___1___9,"Old Church Slavonic (Indo-European, Slavic)",europe,real
21264,6,1,7,8,0,5,3,2,4,3.051543776200205e-05,1.7190305530385765,1.7189695221630525,2___1___9,[AM-50]  Yuracaré (Yuracaré) ,americas,real
21148,1,2,6,8,3,5,7,4,0,3.051543776200205e-05,1.7190305530385759,1.7189695221630519,2___1___9,Basque,europe,real
21276,6,2,8,5,1,4,3,0,7,3.0515437761780007e-05,1.7190305530385763,1.7189695221630528,2___1___9,"[AM-38]  Quechua, Yauyos (Quechuan, Central Quechua I)",americas,real
21331,3,2,5,4,7,0,6,8,1,3.0515437761780007e-05,1.719030553038576,1.7189695221630525,2___1___9,"[OC-11]  Fijian (Austronesian, Oceanic)",oceania,real
21242,5,0,2,4,7,1,3,6,8,3.0515437761780007e-05,1.719030553038576,1.7189695221630525,2___1___9,"[AM-21]  Kodiak Alutiiq (Eskimo-Aleut, Aleut) ",americas,real
21168,8,4,5,1,2,6,7,0,3,3.0515437761557962e-05,1.719030553038576,1.718969522163053,2___1___9,Turkish (Turkic),europe,real
21349,0,3,6,4,1,5,8,7,2,3.0515437761557962e-05,1.719030553038576,1.718969522163053,2___1___9,[OC-45]  Wardaman (Yangmanic),oceania,real
21336,7,5,1,4,8,2,3,6,0,3.0515437761557962e-05,1.719030553038576,1.718969522163053,2___1___9,"[OC-47]  Yawuru (Nyulnyulan, Eastern)",oceania,real
21337,1,2,6,5,7,8,0,3,4,3.0515437761557962e-05,1.719030553038576,1.718969522163053,2___1___9,"[OC-48]  Yidiɲ (Pama-Nyungan, Yimidhirr-Yalanji-Yidinic)",oceania,real
21338,8,4,2,7,5,0,3,6,1,3.0515437761557962e-05,1.7190305530385763,1.7189695221630532,2___1___9,[OC-28]  Ngan'gityemerri (Southern Daly),oceania,real
21289,6,2,5,8,1,0,4,7,3,3.0515437761557962e-05,1.719030553038576,1.718969522163053,2___1___9,"Tamasheq, Tadraq (Afro-Asiatic, Berber)",africa,real
21363,7,8,0,2,4,1,5,3,6,3.0515437761557962e-05,1.7190305530385759,1.7189695221630528,2___1___9,"[OC-19]  Komnzo (Morehead-Wasur, Eastern Tonda)",oceania,real
21199,7,2,1,4,0,8,6,5,3,3.0515437761557962e-05,1.7190305530385759,1.7189695221630528,2___1___9,"Burushaski, Yasin (Burushaski)",asia,real
21248,0,4,2,3,6,7,1,8,5,3.0515437761557962e-05,1.7190305530385759,1.7189695221630528,2___1___9,"Apache, San Carlos (Athabaskan-Eyak-Tlingit, Athabaskan) ",americas,real
21243,3,4,5,6,7,2,8,1,0,3.0515437761557962e-05,1.7190305530385759,1.7189695221630528,2___1___9,"[AM-24]  Lakota (Siouan, Core Siouan)",americas,real
21258,3,8,2,5,0,4,1,6,7,3.0515437761557962e-05,1.7190305530385759,1.7189695221630528,2___1___9,"[AM-15]  Garifuna (Arawakan, Caribbean Arawakan) ",americas,real
21146,5,2,3,1,6,8,0,7,4,3.0515437761557962e-05,1.719030553038576,1.718969522163053,2___1___9,Finnish (Uralic),europe,real
21237,6,2,5,0,8,1,4,7,3,3.0515437761557962e-05,1.7190305530385757,1.7189695221630525,2___1___9,"[AM-20]  Klamath (Penutian, Klamath-Modoc) ",americas,real
21352,8,6,2,4,1,3,5,7,0,3.0515437761557962e-05,1.7190305530385759,1.7189695221630528,2___1___9,"[OC-5]  Bardi (Nyulnyulan, Western) ",oceania,real
21218,4,2,8,3,5,0,7,1,6,3.0515437761557962e-05,1.7190305530385765,1.7189695221630534,2___1___9,Korean (Koreanic),asia,real
21215,6,8,3,4,0,7,1,2,5,3.0515437761557962e-05,1.7190305530385759,1.7189695221630528,2___1___9,"Khasi (Austroasiatic, Khasi-Palaung)",asia,real
21203,5,2,7,1,3,8,0,4,6,3.0515437761557962e-05,1.7190305530385759,1.7189695221630528,2___1___9,"Mundari (Austroasiatic, Mundaic)",asia,real
21314,7,3,8,6,5,2,0,4,1,3.0515437761557962e-05,1.719030553038576,1.718969522163053,2___1___9,"Ngizim (Afro-Asiatic, Chadic)",africa,real
21228,7,5,4,2,6,3,1,8,0,3.0515437761335917e-05,1.719030553038576,1.7189695221630534,2___1___9,"Arabic, Modern Standard (Afro-Asiatic, Semitic)",asia,real
21267,5,7,6,2,0,4,3,8,1,3.0515437761335917e-05,1.7190305530385763,1.7189695221630537,2___1___9,"Arapaho (Algic, Algonquian) ",americas,real
21269,7,1,3,6,0,5,4,2,8,3.0515437761335917e-05,1.719030553038576,1.7189695221630534,2___1___9,"[AM-18]  Inuktitut, Western Canadian (Eskimo-Aleut, Eskimo) ",americas,real
21145,0,1,2,3,4,5,6,7,8,3.0515437761335917e-05,1.719030553038576,1.7189695221630534,2___1___9,simulated,simulated,simulated
21282,0,5,2,3,1,7,6,4,8,3.0515437761335917e-05,1.719030553038576,1.7189695221630534,2___1___9,"Khoekhoe, Nama (Khoe-Kwadi)",africa,real
21312,1,2,6,7,3,8,0,5,4,3.0515437761335917e-05,1.7190305530385759,1.7189695221630532,2___1___9,"Yoruba (Atlantic-Congo, Defoid)",africa,real
