,D1_place,D2_place,D3_place,D1_goal,D2_goal,D3_goal,D1_source,D2_source,D3_source,I[U;W],I[M;W],MI_Objective,grammar_complexity,Language,Area,LangCategory
21206,1,0,4,7,6,5,3,8,2,0.38543892196493723,1.719030553038576,0.9481527091087016,2___1___9,"Mualang (Austronesian, Malayo-Sumbawan)",asia,real
21175,4,3,8,0,1,6,7,2,5,0.38543892196493723,1.7190305530385763,0.9481527091087019,2___1___9,"Macedonian (Indo-European, Slavic)",europe,real
21230,3,5,7,1,2,6,8,0,4,0.385438921964937,1.719030553038576,0.9481527091087021,2___1___9,"Burushaski, Yasin (Burushaski)",asia,real
21277,7,2,6,1,4,5,8,3,0,0.385438921964937,1.719030553038576,0.9481527091087021,2___1___9,"[AM-24]  Lakota (Siouan, Core Siouan)",americas,real
21343,5,2,8,1,6,7,4,3,0,0.385438921964937,1.7190305530385759,0.9481527091087019,2___1___9,"[OC-49]  Yindjibarndi  (Pama-Nyungan, Pilbara)",oceania,real
21241,1,4,3,7,0,2,8,6,5,0.385438921964937,1.7190305530385759,0.9481527091087019,2___1___9,"[AM-20]  Klamath (Penutian, Klamath-Modoc) ",americas,real
21221,5,1,8,3,4,0,6,2,7,0.385438921964937,1.7190305530385763,0.9481527091087023,2___1___9,Yugh (Yeniseian),asia,real
21270,7,3,6,1,0,2,5,4,8,0.3854389219649368,1.719030553038576,0.9481527091087025,2___1___9,"[AM-38]  Quechua, Yauyos (Quechuan, Central Quechua I)",americas,real
21252,0,4,2,7,6,5,1,8,3,0.3854389219649368,1.7190305530385763,0.9481527091087028,2___1___9,[AM-50]  Yuracaré (Yuracaré) ,americas,real
21351,2,1,6,4,5,8,3,0,7,0.3854389219649368,1.7190305530385759,0.9481527091087023,2___1___9,"[OC-21]  Maori (Southern Cook Islands) (Austronesian, Oceanic)",oceania,real
21301,5,1,6,2,0,8,7,3,4,0.3854389219649368,1.719030553038576,0.9481527091087025,2___1___9,"Ngizim (Afro-Asiatic, Chadic)",africa,real
21196,0,6,2,7,4,8,1,3,5,0.3854389219649368,1.7190305530385763,0.9481527091087028,2___1___9,"Mundari (Austroasiatic, Mundaic)",asia,real
21171,5,6,3,0,1,8,2,7,4,0.38543892196493656,1.7190305530385759,0.9481527091087028,2___1___9,Turkish (Turkic),europe,real
21237,2,5,4,8,6,7,3,0,1,0.38543892196493656,1.7190305530385759,0.9481527091087028,2___1___9,"[AM-18]  Inuktitut, Western Canadian (Eskimo-Aleut, Eskimo) ",americas,real
21333,5,8,7,4,1,3,2,6,0,0.38543892196493656,1.719030553038576,0.948152709108703,2___1___9,"[OC-5]  Bardi (Nyulnyulan, Western) ",oceania,real
21334,1,2,5,4,3,7,8,6,0,0.38543892196493656,1.719030553038576,0.948152709108703,2___1___9,"[OC-47]  Yawuru (Nyulnyulan, Eastern)",oceania,real
21273,4,8,0,1,2,3,6,5,7,0.38543892196493656,1.7190305530385759,0.9481527091087028,2___1___9,"[AM-21]  Kodiak Alutiiq (Eskimo-Aleut, Aleut) ",americas,real
21338,6,5,3,7,2,8,0,1,4,0.38543892196493656,1.7190305530385759,0.9481527091087028,2___1___9,[OC-17]  Jingulu (Mirndi),oceania,real
21362,7,4,5,1,0,3,8,2,6,0.38543892196493656,1.7190305530385759,0.9481527091087028,2___1___9,"Arrernte, Eastern (Pama-Nyungan, Aranda) ",oceania,real
21249,5,0,2,6,7,8,3,1,4,0.38543892196493656,1.7190305530385759,0.9481527091087028,2___1___9,"[AM-15]  Garifuna (Arawakan, Caribbean Arawakan) ",americas,real
21360,1,4,5,8,2,0,3,7,6,0.38543892196493656,1.719030553038576,0.948152709108703,2___1___9,[OC-28]  Ngan'gityemerri (Southern Daly),oceania,real
21365,7,1,0,2,4,8,3,5,6,0.38543892196493656,1.719030553038576,0.948152709108703,2___1___9,"[OC-11]  Fijian (Austronesian, Oceanic)",oceania,real
21346,8,4,6,0,1,7,5,3,2,0.38543892196493656,1.7190305530385765,0.9481527091087034,2___1___9,[OC-45]  Wardaman (Yangmanic),oceania,real
21347,7,8,2,5,4,3,0,6,1,0.38543892196493656,1.7190305530385759,0.9481527091087028,2___1___9,"[OC-8]  Djapu (Pama-Nyungan, Yuulngu) ",oceania,real
21323,2,3,4,1,6,5,8,7,0,0.38543892196493656,1.7190305530385759,0.9481527091087028,2___1___9,"Tamasheq, Tadraq (Afro-Asiatic, Berber)",africa,real
21229,3,5,8,6,7,4,2,0,1,0.38543892196493656,1.7190305530385759,0.9481527091087028,2___1___9,"Yukaghir, Kolyma (Yukaghir)",asia,real
21179,8,6,5,2,1,7,3,4,0,0.38543892196493656,1.7190305530385759,0.9481527091087028,2___1___9,"German (Indo-European, Germanic)",europe,real
21353,4,5,7,8,3,6,0,2,1,0.38543892196493656,1.7190305530385763,0.9481527091087032,2___1___9,"[OC-19]  Komnzo (Morehead-Wasur, Eastern Tonda)",oceania,real
21243,2,0,1,8,3,4,6,7,5,0.38543892196493634,1.719030553038576,0.9481527091087034,2___1___9,"Apache, San Carlos (Athabaskan-Eyak-Tlingit, Athabaskan) ",americas,real
21232,1,0,2,4,5,3,6,8,7,0.38543892196493634,1.7190305530385763,0.9481527091087036,2___1___9,"Bantawa (Sino-Tibetan, Kiranti)",asia,real
21254,2,4,7,5,6,1,0,3,8,0.38543892196493634,1.719030553038576,0.9481527091087034,2___1___9,[AM-26]  Mapudungun (Araucanian) ,americas,real
21159,5,3,1,7,4,2,0,8,6,0.38543892196493634,1.719030553038576,0.9481527091087034,2___1___9,Finnish (Uralic),europe,real
21145,0,1,2,3,4,5,6,7,8,0.38543892196493634,1.719030553038576,0.9481527091087034,2___1___9,simulated,simulated,simulated
21226,6,4,7,1,2,0,5,3,8,0.38543892196493634,1.719030553038576,0.9481527091087034,2___1___9,"Atong (Sino-Tibetan, Brahmaputran)",asia,real
21205,1,0,7,3,5,2,4,8,6,0.38543892196493634,1.719030553038576,0.9481527091087034,2___1___9,Korean (Koreanic),asia,real
21231,3,7,6,0,5,1,4,2,8,0.38543892196493634,1.719030553038576,0.9481527091087034,2___1___9,"Arabic, Modern Standard (Afro-Asiatic, Semitic)",asia,real
21165,3,5,7,6,8,2,0,4,1,0.3854389219649361,1.7190305530385759,0.9481527091087036,2___1___9,Basque,europe,real
21182,5,6,1,4,8,2,3,0,7,0.3854389219649361,1.7190305530385757,0.9481527091087034,2___1___9,Catalan,europe,real
21278,0,5,7,4,8,1,6,3,2,0.3854389219649361,1.7190305530385759,0.9481527091087036,2___1___9,"Yoruba (Atlantic-Congo, Defoid)",africa,real
21155,4,8,2,7,0,5,6,1,3,0.3854389219649361,1.719030553038576,0.9481527091087039,2___1___9,"Old Church Slavonic (Indo-European, Slavic)",europe,real
21236,3,7,1,2,4,5,8,6,0,0.3854389219649361,1.7190305530385759,0.9481527091087036,2___1___9,"Arapaho (Algic, Algonquian) ",americas,real
21286,2,0,1,8,7,6,4,5,3,0.3854389219649361,1.7190305530385759,0.9481527091087036,2___1___9,"Hausa (Afro-Asiatic, Chadic)",africa,real
21234,1,3,6,0,8,2,7,5,4,0.3854389219649361,1.7190305530385759,0.9481527091087036,2___1___9,"[AM-44]  Trio (Cariban, Guianan)",americas,real
21349,8,7,0,1,3,4,6,5,2,0.3854389219649361,1.7190305530385759,0.9481527091087036,2___1___9,"[OC-50]  Yuwaalaraay (Pama-Nyungan, Wiradhuric)",oceania,real
21289,0,4,5,1,8,6,7,2,3,0.3854389219649361,1.719030553038576,0.9481527091087039,2___1___9,"Khoekhoe, Nama (Khoe-Kwadi)",africa,real
21325,1,8,4,2,7,5,0,6,3,0.3854389219649361,1.7190305530385759,0.9481527091087036,2___1___9,"[OC-48]  Yidiɲ (Pama-Nyungan, Yimidhirr-Yalanji-Yidinic)",oceania,real
21203,3,7,5,1,4,0,2,6,8,0.3854389219649359,1.719030553038576,0.9481527091087043,2___1___9,Ainu (Ainu),asia,real
21266,2,1,0,6,7,4,5,3,8,0.3854389219649359,1.7190305530385759,0.9481527091087041,2___1___9,"[AM-17]  Hualapai (Cochimi-Yuman, Yuman) ",americas,real
21202,0,5,7,3,6,1,2,4,8,0.3854389219649359,1.719030553038576,0.9481527091087043,2___1___9,"Khasi (Austroasiatic, Khasi-Palaung)",asia,real
21199,2,1,6,3,7,0,4,5,8,0.3854389219649357,1.7190305530385759,0.9481527091087045,2___1___9,Tuvinian (Turkic),asia,real
21128,0,1,2,3,4,5,6,7,7,0.3825520993150673,1.7049330921411623,0.9398288935110277,2___1___8,simulated,simulated,simulated
21354,2,1,5,7,0,3,6,4,4,0.3825520993150673,1.7049330921411625,0.9398288935110279,2___1___8,[OC-25]  Maybrat (Maybrat-Karon) ,oceania,real
21132,0,1,2,3,4,5,6,7,2,0.379781075984166,1.6986520588846592,0.9390899069163272,2___2___8,simulated,simulated,simulated
21210,7,0,5,4,3,5,2,6,1,0.37830863812974935,1.6674491605576174,0.9108318842981187,2___2___8,"Limbu (Sino-Tibetan, Kiranti)",asia,real
21119,0,1,2,3,4,2,5,6,7,0.37830863812974913,1.6674491605576172,0.9108318842981189,2___2___8,simulated,simulated,simulated
21194,3,4,6,7,5,6,2,0,1,0.37830863812974913,1.6674491605576176,0.9108318842981193,2___2___8,"Bengali (Indo-European, Indo-Iranian)",asia,real
21268,3,2,5,1,4,5,6,7,0,0.3783086381297487,1.6674491605576176,0.9108318842981202,2___2___8,"[AM-10] Comanche (Uto-Aztecan, Numic) ",americas,real
21136,0,1,2,3,4,5,6,7,5,0.3782525867715094,1.7041800726023664,0.9476748990593475,2___2___8,simulated,simulated,simulated
21329,5,1,4,6,2,3,0,7,3,0.3782525867715092,1.7041800726023661,0.9476748990593478,2___2___8,[OC-27]  Motuna (South Bougainville),oceania,real
21337,3,1,5,7,6,0,2,4,0,0.3782525867715092,1.7041800726023661,0.9476748990593478,2___2___8,"[OC-30]  Orokaiva (Trans-New Guinea, Binanderean)",oceania,real
21109,0,1,2,3,4,5,6,7,6,0.37744744399821384,1.6980864558993616,0.9431915679029339,2___1___8,simulated,simulated,simulated
21335,7,1,3,6,2,4,0,5,0,0.3774474439982136,1.6980864558993618,0.9431915679029346,2___1___8,"Abui (Timor-Alor-Pantar, Alor) ",oceania,real
21112,0,1,2,3,4,5,6,7,1,0.37606084345901625,1.6934161413295852,0.9412944544115527,2___1___8,simulated,simulated,simulated
21121,0,1,2,3,4,5,6,6,7,0.3758354035699194,1.6700032796407491,0.9183324725009103,2___1___8,simulated,simulated,simulated
21022,0,1,2,3,4,2,5,6,6,0.37542181547987963,1.6533516996602036,0.9025080687004443,2___2___7,simulated,simulated,simulated
21122,0,1,2,3,4,4,5,6,7,0.37454364303470733,1.6669838515736737,0.917896565504259,2___1___8,simulated,simulated,simulated
21115,0,1,2,3,4,5,6,7,4,0.37438120868332003,1.6985219939078449,0.9497595765412048,2___1___8,simulated,simulated,simulated
20856,0,1,2,3,4,2,5,6,2,0.3717930158158598,1.6452882235131858,0.9017021918814663,2___2___7,simulated,simulated,simulated
20744,0,1,2,3,4,4,5,6,6,0.3716568203848378,1.65288639067626,0.9095727499065844,2___1___7,simulated,simulated,simulated
21141,0,1,2,3,4,5,6,7,0,0.3708933200092486,1.6880891385784949,0.9463024985599977,2___1___8,simulated,simulated,simulated
20901,0,1,2,3,4,2,5,6,5,0.3703171601630264,1.646505063418403,0.9058707430923503,2___2___7,simulated,simulated,simulated
20891,0,1,2,3,4,5,6,6,2,0.37017755758914883,1.6496247854868311,0.9092696703085335,2___2___7,simulated,simulated,simulated
21143,0,1,2,3,4,5,6,7,3,0.36920041391925285,1.6926003998021761,0.9541995719636704,2___1___8,simulated,simulated,simulated
21257,2,3,0,5,1,4,6,6,6,0.3691465849862534,1.647613125628911,0.9093199556564042,2___1___7,"[AM-28]  Musqueam (Salishan, Central Salish)",americas,real
20732,0,1,2,3,4,5,6,6,6,0.3691465849862534,1.6476131256289108,0.909319955656404,2___1___7,simulated,simulated,simulated
21067,0,1,2,3,4,2,5,6,1,0.36893055962382904,1.6418347488486267,0.9039736296009686,2___2___7,simulated,simulated,simulated
20904,0,1,2,3,4,4,5,6,2,0.36888579705393654,1.6466053574197563,0.9088337633118833,2___2___7,simulated,simulated,simulated
21083,0,1,2,3,4,2,5,5,6,0.3687051197347311,1.6184218871597902,0.881011647690328,2___2___7,simulated,simulated,simulated
21081,0,1,2,3,4,5,6,6,5,0.36864906837649225,1.6551527992045387,0.9178546624515542,2___2___7,simulated,simulated,simulated
21116,0,1,2,3,4,5,6,5,7,0.3672982409000618,1.6883610929564123,0.9537646111562887,2___1___8,simulated,simulated,simulated
21102,0,1,2,3,4,2,5,6,4,0.3672509248481328,1.6469406014268861,0.9124387517306205,2___2___7,simulated,simulated,simulated
21135,0,1,2,3,4,5,6,1,7,0.36667821788929666,1.6547550960762207,0.9213986602976274,2___2___8,simulated,simulated,simulated
