,Unnamed: 0,D1_place,D2_place,D3_place,D1_goal,D2_goal,D3_goal,D1_source,D2_source,D3_source,I[U;W],I[M;W],Language,Area,dist_to_hull,r patterns,theta patterns
0,0,1,0,0,4,2,2,5,3,3,0.3430006499837557,1.5173487714785212,Belarusian,europe,0.014166525623419624,1.0,1.0
1,1,1,0,0,1,0,0,2,3,3,0.2650258319332757,0.9627697664926144,"English (Indo-European, Germanic)",europe,0.002090712405812537,1.0,1.0
2,2,2,1,1,2,1,1,3,0,0,0.2650258319332753,0.9627697664926146,"Albanian (Indo-European, Albanian)",europe,0.0020907124058390887,1.0,1.0
3,3,0,2,2,4,3,3,5,1,1,0.3430006499837557,1.5173487714785212,"Romani, Moldovan (Indo-European, Indo-Iranian)",europe,0.014166525623419624,1.0,1.0
4,4,3,6,5,4,2,8,7,0,1,0.3854389219649361,1.7190305530385759,Basque,europe,0.0,1.0,1.0
5,5,4,5,5,3,2,2,1,0,0,0.34300064998375634,1.5173487714785214,"Slavomolisano (Indo-European, Slavic)",europe,0.014166525623388281,1.0,1.0
6,6,1,5,0,2,8,7,4,3,6,0.3854389219649361,1.719030553038576,"Macedonian (Indo-European, Slavic)",europe,0.0,1.0,1.0
7,7,2,3,3,0,3,3,1,4,4,0.31662862360470023,1.3282767593744575,"Greek, Modern (Indo-European, Graeco-Phrygian)",europe,0.013883349437002595,2.0,1.0
8,8,2,3,3,1,4,4,5,0,0,0.3430006499837561,1.5173487714785212,"Slovenian (Indo-European, Slavic)",europe,0.014166525623403953,1.0,1.0
9,9,0,5,5,3,2,2,4,1,1,0.34300064998375634,1.5173487714785214,"Danish (Indo-European, Germanic)",europe,0.014166525623388281,1.0,1.0
10,10,5,1,3,5,1,3,4,0,2,0.3074974045392003,1.1645392933887269,"French (Indo-European, Romance)",europe,1.4901161193847656e-08,1.0,1.0
11,11,0,6,8,4,5,1,7,2,3,0.3854389219649372,1.7190305530385759,"Old Church Slavonic (Indo-European, Slavic)",europe,0.0,1.0,1.0
12,12,4,6,2,1,0,5,7,3,8,0.3854389219649372,1.7190305530385763,"German (Indo-European, Germanic)",europe,0.0,1.0,1.0
13,13,4,3,3,1,5,5,0,2,2,0.3430006499837561,1.5173487714785212,"Serbian (Indo-European, Slavic)",europe,0.014166525623403953,1.0,1.0
14,14,4,0,0,3,5,5,1,2,2,0.3430006499837557,1.5173487714785212,"Faroese (Indo-European, Germanic)",europe,0.014166525623419624,1.0,1.0
15,15,6,2,7,3,0,5,1,8,4,0.3854389219649368,1.7190305530385763,Turkish (Turkic),europe,0.0,1.0,1.0
16,16,2,0,1,2,0,1,2,0,1,0.2046119813970061,0.8448628726782395,Adyghe (Abkhaz-Adyge),europe,0.03741932470544816,1.0,1.0
17,17,3,2,2,3,2,2,1,0,0,0.2650258319332758,0.9627697664926144,"Maltese (Afro-Asiatic, Semitic)",europe,0.0020907124057859858,1.0,1.0
18,18,3,0,0,4,5,5,2,1,1,0.34300064998375523,1.5173487714785212,"Sorbian, Lower (Indo-European, Slavic)",europe,0.014166525623403953,1.0,1.0
19,19,0,1,1,2,1,1,3,4,4,0.3166286236046998,1.3282767593744578,"Czech (Indo-European, Slavic)",europe,0.013883349436994598,2.0,1.0
20,20,1,3,3,1,3,3,2,0,0,0.26502583193327545,0.9627697664926144,"Welsh (Indo-European, Celtic)",europe,0.0020907124057859858,1.0,1.0
21,21,4,3,3,2,0,0,5,1,1,0.343000649983757,1.5173487714785212,"Lezgian (Nakh-Daghestanian, Daghestanian)",europe,0.014166525623388281,1.0,1.0
22,22,0,1,1,5,4,4,3,2,2,0.3430006499837559,1.5173487714785212,"Swedish (Indo-European, Germanic)",europe,0.014166525623388281,1.0,1.0
23,23,2,0,0,2,0,0,1,3,3,0.2650258319332752,0.9627697664926144,"Italian (Indo-European, Romance)   ",europe,0.002090712405812537,1.0,1.0
24,24,2,1,1,0,3,3,5,4,4,0.3430006499837557,1.5173487714785214,"Latvian (Indo-European, Baltic)",europe,0.014166525623403953,1.0,1.0
25,25,2,1,1,4,3,3,5,0,0,0.3430006499837561,1.5173487714785212,"Norwegian (Indo-European, Germanic)",europe,0.014166525623403953,1.0,1.0
26,26,5,0,0,4,3,3,2,1,1,0.3430006499837561,1.5173487714785212,"Low German (Indo-European, Germanic)",europe,0.014166525623403953,1.0,1.0
27,27,3,1,1,5,2,2,0,4,4,0.3430006499837559,1.5173487714785212,"Russian (Indo-European, Slavic)",europe,0.014166525623388281,1.0,1.0
28,28,8,2,3,6,4,1,7,0,5,0.38543892196493656,1.719030553038576,Catalan,europe,0.0,1.0,1.0
29,29,1,2,2,1,2,2,3,0,0,0.2650258319332753,0.9627697664926146,"Polish (Indo-European, Slavic)",europe,0.0020907124058390887,1.0,1.0
30,30,0,3,4,2,1,5,0,3,4,0.2996611479529769,1.4333355569365331,"Saami, Skolt (Uralic)",europe,0.045341314760091685,1.0,1.0
31,31,0,3,3,2,4,4,1,5,5,0.34300064998375634,1.5173487714785212,Hungarian (Uralic),europe,0.014166525623403953,1.0,1.0
32,32,4,2,5,4,2,5,0,3,1,0.3074974045392005,1.164539293388727,"Scots-Gaelic (Indo-European, Celtic)",europe,2.1073424255447014e-08,1.0,1.0
33,33,6,8,5,7,3,1,2,0,4,0.38543892196493656,1.7190305530385759,Finnish (Uralic),europe,0.0,1.0,1.0
34,34,4,5,5,0,3,3,1,2,2,0.3430006499837568,1.5173487714785214,Estonian (Uralic),europe,0.014166525623403953,1.0,1.0
35,35,2,4,4,3,5,5,0,1,1,0.3430006499837559,1.5173487714785212,"Croatian (Indo-European, Slavic)",europe,0.014166525623388281,1.0,1.0
36,36,0,2,2,3,4,4,5,1,1,0.3430006499837557,1.5173487714785212,Bulgarian,europe,0.014166525623419624,1.0,1.0
37,37,3,0,4,3,0,4,2,5,1,0.3074974045392007,1.1645392933887269,"Irish (Indo-European, Celtic)",europe,2.1073424255447014e-08,1.0,1.0
38,38,2,5,5,4,3,3,0,1,1,0.3430006499837559,1.5173487714785214,"Lithuanian (Indo-European, Baltic)",europe,0.014166525623403953,1.0,1.0
39,39,5,1,1,0,3,3,2,4,4,0.3430006499837561,1.5173487714785212,"Rumantsch (Indo-European, Romance)",europe,0.014166525623403953,1.0,1.0
40,40,3,2,2,0,1,1,5,4,4,0.3430006499837557,1.5173487714785212,"Romanian (Indo-European, Romance) ",europe,0.014166525623419624,1.0,1.0
41,41,2,5,5,0,3,3,4,1,1,0.34300064998375634,1.5173487714785214,"Slovak (Indo-European, Slavic)",europe,0.014166525623388281,1.0,1.0
42,42,2,0,0,5,3,3,4,1,1,0.34300064998375523,1.5173487714785212,"Ukrainian (Indo-European, Slavic)",europe,0.014166525623403953,1.0,1.0
43,43,4,3,3,1,0,0,5,2,2,0.34300064998375657,1.5173487714785217,"Dutch (Indo-European, Germanic)",europe,0.014166525623388281,1.0,1.0
44,44,2,0,0,3,1,1,4,5,5,0.34300064998375546,1.5173487714785214,"Icelandic (Indo-European, Germanic)",europe,0.014166525623403953,1.0,1.0
45,45,3,0,0,4,5,5,2,1,1,0.34300064998375523,1.5173487714785212,"Sorbian,Upper (Indo-European, Slavic)",europe,0.014166525623403953,1.0,1.0
46,46,4,0,0,3,1,1,5,2,2,0.34300064998375657,1.5173487714785212,"Chinese (Sino-Tibetan, Sinitic)",asia,0.014166525623403953,1.0,1.0
47,47,5,0,4,5,0,4,3,1,2,0.3074974045392005,1.164539293388727,"Santali (Austroasiatic, Mundaic)",asia,2.1073424255447014e-08,1.0,1.0
48,48,5,4,4,3,1,1,0,2,2,0.3430006499837561,1.5173487714785214,Lamut (Tungusic),asia,0.014166525623388281,1.0,1.0
49,49,5,1,1,2,3,3,4,0,0,0.3430006499837561,1.5173487714785212,"Vietnamese (Austroasiatic, Vietic)",asia,0.014166525623403953,1.0,1.0
50,50,6,8,1,4,0,5,2,7,3,0.3854389219649361,1.7190305530385759,"Atong (Sino-Tibetan, Brahmaputran)",asia,0.0,1.0,1.0
51,51,5,2,4,5,2,4,3,0,1,0.30749740453920005,1.1645392933887269,"Thai (Tai-Kadai, Daic)",asia,2.1073424255447014e-08,1.0,1.0
52,52,0,4,2,0,4,2,5,3,1,0.30749740453920005,1.1645392933887269,"Wa (Austroasiatic, Palaungic)",asia,2.1073424255447014e-08,1.0,1.0
53,53,1,3,3,5,4,4,0,2,2,0.3430006499837559,1.5173487714785212,"Panjabi (Indo-European, Indo-Iranian)",asia,0.014166525623388281,1.0,1.0
54,54,3,5,5,0,4,4,2,1,1,0.34300064998375634,1.5173487714785214,"Cantonese (Sino-Tibetan, Sinitic)",asia,0.014166525623388281,1.0,1.0
55,55,8,3,4,6,2,5,0,7,1,0.38543892196493656,1.719030553038576,"Mundari (Austroasiatic, Mundaic)",asia,0.0,1.0,1.0
56,56,0,1,1,0,1,1,0,1,1,0.16206318765857666,0.6428851403790256,"Hmong Njua (Hmong-Mien, Chuanqiandian)",asia,0.038775539006686614,1.0,1.0
57,57,3,1,1,4,5,5,2,0,0,0.3430006499837557,1.5173487714785212,"Temiar (Austroasiatic, Aslian)",asia,0.014166525623419624,1.0,1.0
58,58,8,2,4,1,7,6,3,5,0,0.3854389219649361,1.7190305530385759,Ainu (Ainu),asia,0.0,1.0,1.0
59,59,2,4,7,5,1,7,0,3,6,0.3783086381297491,1.6674491605576174,"Limbu (Sino-Tibetan, Kiranti)",asia,0.0,2.0,1.0
60,60,3,5,5,4,0,0,1,2,2,0.34300064998375634,1.5173487714785214,"Persian (Indo-European, Indo-Iranian)",asia,0.014166525623388281,1.0,1.0
61,61,0,4,4,3,5,5,2,1,1,0.34300064998375546,1.5173487714785214,Manchu (Tungusic),asia,0.014166525623403953,1.0,1.0
62,62,2,0,0,5,4,4,3,1,1,0.3430006499837559,1.5173487714785212,"Ostyak (Uralic, Khantyic)",asia,0.014166525623388281,1.0,1.0
63,63,2,3,1,6,7,1,4,0,5,0.3783086381297489,1.6674491605576174,"Bengali (Indo-European, Indo-Iranian)",asia,0.0,2.0,1.0
64,64,0,1,1,3,4,4,5,2,2,0.3430006499837561,1.5173487714785212,"Burmese (Tibeto-Burmese, Burmish)",asia,0.014166525623403953,1.0,1.0
