,D1_place,D2_place,D3_place,D1_goal,D2_goal,D3_goal,D1_source,D2_source,D3_source,I[U;W],I[M;W],Language,Area,dist_to_hull
0,0,0,1,1,1,0,1,1,0,0.10260911770415315,0.6764925586746227,simulated,simulated,0.12095891728743291
1,0,1,1,1,0,0,0,0,1,0.09639600092969514,0.6794242729862672,simulated,simulated,0.12775596197643188
2,0,0,1,0,0,0,1,1,0,0.0720610760394691,0.4350361674888277,simulated,simulated,0.07180330372507561
3,0,1,0,0,1,0,0,1,0,0.08777685345897623,0.5603319605940844,simulated,simulated,0.09846479810518748
4,0,0,0,0,0,1,0,0,1,0.03617467507510391,0.13377637233354028,simulated,simulated,0.006133904851966787
5,0,0,0,1,1,1,1,0,1,0.14573687976667982,0.649404012465987,simulated,simulated,0.07175337053009924
6,0,0,0,0,1,1,1,1,0,0.05788387458609223,0.4751963657708077,simulated,simulated,0.09851246799656532
7,0,1,0,1,1,1,1,0,0,0.10115442387640661,0.6930051908600459,simulated,simulated,0.1272174339238691
8,0,0,1,1,1,0,0,1,0,0.1444855593259955,0.6392293729734726,simulated,simulated,0.06994730339091675
9,0,0,0,0,1,0,1,0,0,0.040482723247055485,0.4015199251408079,simulated,simulated,0.09051511192416153
10,0,1,1,1,0,1,0,0,1,0.11019817037894208,0.6862045845230278,simulated,simulated,0.1165695164150506
11,0,1,1,0,0,1,1,1,0,0.12512802918988353,0.6424662905045109,simulated,simulated,0.08939876665767764
12,0,0,0,0,1,0,1,1,1,0.04477744655050997,0.44731019178773274,simulated,simulated,0.10162455851016397
13,0,1,0,1,0,0,1,0,1,0.05206481715877165,0.6815951763463628,simulated,simulated,0.17075509978398853
14,0,1,1,1,0,0,1,0,1,0.0615183085969484,0.6929075617864977,simulated,simulated,0.16505888050601494
15,0,1,1,1,1,0,1,0,1,0.09242160725802018,0.6869812443422814,simulated,simulated,0.13378534450335447
16,0,0,1,1,0,0,1,1,1,0.07615158912165576,0.646522880564131,simulated,simulated,0.1373943429276536
17,0,0,0,0,1,0,0,1,1,0.04970910074281931,0.3093268548560224,simulated,simulated,0.05130028833316134
18,0,1,1,0,0,1,0,1,0,0.1413541016235299,0.5837301334890649,simulated,simulated,0.05567700203879992
19,0,0,0,0,0,0,0,1,0,0.01593738269470396,0.10042857544745448,simulated,simulated,0.01400944981974111
20,0,1,0,1,0,0,0,0,1,0.07960820108298727,0.6489489625368711,simulated,simulated,0.13480406224070526
21,0,1,1,1,0,1,1,0,1,0.07013942718820632,0.6928169446677916,simulated,simulated,0.15679485341685
22,0,0,1,0,1,0,1,1,0,0.059753804959691514,0.5314711349532899,simulated,simulated,0.11536003835007716
23,0,0,1,0,0,1,1,1,0,0.07802659112423005,0.4729327676058773,simulated,simulated,0.07874308857266812
24,0,1,1,1,0,0,0,0,0,0.09357311475130858,0.6773740799642605,simulated,simulated,0.1298497118670273
25,0,1,0,0,0,1,1,1,0,0.0770039146365431,0.5903515939899527,simulated,simulated,0.1185760983115849
26,0,0,0,0,0,1,0,0,0,0.03467390379219648,0.11245986158155631,simulated,simulated,0.0013699086087684967
27,0,1,0,0,1,0,1,0,0,0.06148887515535417,0.6102417491224252,simulated,simulated,0.13982644259916144
28,0,0,1,1,1,1,0,0,1,0.18688805547799214,0.64519443629327,simulated,simulated,0.031205836419687185
29,0,1,1,1,0,1,0,0,0,0.10708753626259271,0.6847312795382383,simulated,simulated,0.11910735057063376
30,0,1,1,1,1,1,0,0,1,0.1684677156453387,0.6930327719079932,simulated,simulated,0.0629083095835119
31,0,1,0,0,1,0,1,1,1,0.07650157134987001,0.6311725079285178,simulated,simulated,0.13253062898552387
32,0,1,0,1,0,1,1,0,1,0.05315863957085498,0.6877170878642361,simulated,simulated,0.1715149815247317
33,0,1,1,1,1,0,1,0,0,0.08980711243593009,0.6882308481379529,simulated,simulated,0.1366545804794407
34,0,0,1,1,0,0,1,1,0,0.07377793563985224,0.6427368297919429,simulated,simulated,0.13854338093655572
35,0,1,1,0,0,0,0,0,1,0.12708301023123125,0.54167172193497,simulated,simulated,0.055206007615018614
36,0,0,0,0,1,0,0,1,0,0.04893158915356122,0.29560979913523033,simulated,simulated,0.047453669305801825
37,0,0,1,1,1,1,1,1,0,0.12503660967047026,0.6840866371443578,simulated,simulated,0.1017666405188448
38,0,1,0,1,0,1,0,0,1,0.08616444961685832,0.6621946694779524,simulated,simulated,0.13244811716169919
39,0,1,0,1,0,0,0,0,0,0.08133676276858526,0.6452657264444255,simulated,simulated,0.13206889736688476
40,0,0,0,1,1,1,0,0,0,0.2020938871173691,0.5887220097228039,simulated,simulated,0.0
41,0,0,0,0,0,0,1,0,0,0.04477547676498317,0.25801060218883426,simulated,simulated,0.03893799621226199
42,0,0,0,1,1,1,0,1,1,0.17715155834206597,0.6126466161089758,simulated,simulated,0.03090539122252501
43,0,0,0,0,0,0,1,1,1,0.05420919444675315,0.3212054636476892,simulated,simulated,0.051024915464617536
44,0,0,0,0,0,1,1,0,1,0.04222269239289311,0.3281942853093664,simulated,simulated,0.06457195212922726
45,0,1,1,0,0,0,1,0,1,0.11223916210204443,0.6139586791154068,simulated,simulated,0.09314200912743241
46,0,0,0,1,0,0,0,1,1,0.11443397427063384,0.5164750096291666,simulated,simulated,0.05883356534672077
47,0,1,0,0,1,1,1,1,0,0.0827570535167731,0.6434447402980682,simulated,simulated,0.1301705548328921
48,0,0,1,1,0,0,0,0,1,0.11561680828405452,0.5690452145024437,simulated,simulated,0.07508194076341795
49,0,1,1,0,1,1,0,0,1,0.15301118885803255,0.628515719124298,simulated,simulated,0.058643960778383936
50,0,0,0,1,0,0,1,0,0,0.1061937124009189,0.5699624566524434,simulated,simulated,0.0843170105014535
51,0,1,1,0,0,0,0,0,0,0.12036658045299664,0.5344759635677819,simulated,simulated,0.059189851107841085
52,0,1,1,0,0,0,0,1,1,0.13984874280148774,0.5651823448277754,simulated,simulated,0.05097055510571218
53,0,1,0,1,0,1,0,0,0,0.08756613036658556,0.6591228123043467,simulated,simulated,0.13020277239058828
54,0,1,0,0,0,0,1,0,1,0.06957880529258098,0.5496721499665012,simulated,simulated,0.11211223911676785
55,0,0,0,0,1,1,0,0,1,0.08186305947789652,0.31650718547384793,simulated,simulated,0.023375685785441053
56,0,0,0,1,0,1,1,1,1,0.09478967899183233,0.6170061517065663,simulated,simulated,0.1106530361577811
57,0,1,1,1,1,1,1,1,1,0.12170106950673465,0.6730610186265895,simulated,simulated,0.10170467181086068
58,0,0,1,1,1,0,1,0,1,0.10924432330853584,0.6706377854788026,simulated,simulated,0.11288660548043054
59,0,0,0,1,1,0,1,1,1,0.12272595053827628,0.6474591606269116,simulated,simulated,0.09317283299734616
60,0,1,0,0,1,1,0,0,1,0.09836148300234848,0.570203999949507,simulated,simulated,0.09175049911188389
61,0,0,1,0,0,0,1,0,1,0.06911033305521563,0.4095381317178359,simulated,simulated,0.06618147228465403
62,0,1,0,1,1,0,1,0,1,0.0854691773382733,0.692968917688182,simulated,simulated,0.14219285753617197
63,0,0,0,0,0,1,1,0,0,0.040742119370369534,0.3150656606428061,simulated,simulated,0.061635963409496834
64,0,0,0,1,0,1,0,1,1,0.12229630501895183,0.546076555515128,simulated,simulated,0.06121393714963629
65,0,0,1,1,0,1,0,0,0,0.1321744467604119,0.5872620387066473,simulated,simulated,0.06550001646631645
66,0,0,1,1,1,0,0,0,1,0.15796796511459366,0.6288235755696052,simulated,simulated,0.05400372758237435
67,0,1,0,1,1,1,1,1,1,0.10153040444983397,0.6906993531158445,simulated,simulated,0.1261768114546357
68,0,0,1,0,0,1,1,0,1,0.0767353032418071,0.4500175278667192,simulated,simulated,0.07239758609127264
69,0,0,1,0,0,0,0,0,1,0.07696199808511694,0.25579639666500587,simulated,simulated,0.007967841895665658
