,Unnamed: 0,D1_place,D2_place,D3_place,D1_goal,D2_goal,D3_goal,D1_source,D2_source,D3_source,I[U;W],I[M;W],Language,Area,dist_to_hull,r patterns,theta patterns
0,0,0,0,1,1,1,0,1,1,0,0.10260911770415317,0.6764925586746227,simulated1,simulated,0.12095891728743292,1.0,1.0
1,1,0,1,1,1,0,0,0,0,1,0.09639600092969514,0.6794242729862672,simulated2,simulated,0.12775596197643188,2.0,2.0
2,2,0,0,1,0,0,0,1,1,0,0.0720610760394691,0.4350361674888277,simulated3,simulated,0.07180330372507561,2.0,2.0
3,3,0,1,0,0,1,0,0,1,0,0.08777685345897622,0.5603319605940844,simulated4,simulated,0.09846479810518748,1.0,1.0
4,4,0,0,0,0,0,1,0,0,1,0.03617467507510391,0.13377637233354028,simulated5,simulated,0.006133904851966787,2.0,2.0
5,5,0,0,0,1,1,1,1,0,1,0.14573687976667982,0.649404012465987,simulated6,simulated,0.07175337053009924,2.0,2.0
6,6,0,0,0,0,1,1,1,1,0,0.057883874586092225,0.4751963657708077,simulated7,simulated,0.09851246799656532,3.0,3.0
7,7,0,1,0,1,1,1,1,0,0,0.1011544238764066,0.6930051908600459,simulated8,simulated,0.1272174339238691,3.0,3.0
8,8,0,0,1,1,1,0,0,1,0,0.1444855593259955,0.6392293729734726,simulated9,simulated,0.06994730339091675,2.0,2.0
9,9,0,0,0,0,1,0,1,0,0,0.040482723247055485,0.4015199251408079,simulated10,simulated,0.09051511192416152,3.0,3.0
10,10,0,1,1,1,0,1,0,0,1,0.11019817037894207,0.6862045845230278,simulated11,simulated,0.1165695164150506,3.0,3.0
11,11,0,1,1,0,0,1,1,1,0,0.12512802918988353,0.6424662905045109,simulated12,simulated,0.08939876665767764,2.0,2.0
12,12,0,0,0,0,1,0,1,1,1,0.04477744655050997,0.4473101917877328,simulated13,simulated,0.10162455851016396,2.0,2.0
13,13,0,1,0,1,0,0,1,0,1,0.05206481715877165,0.6815951763463628,simulated14,simulated,0.17075509978398853,2.0,2.0
14,14,0,1,1,1,0,0,1,0,1,0.0615183085969484,0.6929075617864977,simulated15,simulated,0.16505888050601494,2.0,2.0
15,15,0,1,1,1,1,0,1,0,1,0.09242160725802018,0.6869812443422814,simulated16,simulated,0.13378534450335447,3.0,3.0
16,16,0,0,1,1,0,0,1,1,1,0.07615158912165576,0.646522880564131,simulated17,simulated,0.1373943429276536,3.0,3.0
17,17,0,0,0,0,1,0,0,1,1,0.04970910074281931,0.3093268548560224,simulated18,simulated,0.05130028833316134,3.0,3.0
18,18,0,1,1,0,0,1,0,1,0,0.1413541016235299,0.5837301334890649,simulated19,simulated,0.05567700203879992,3.0,3.0
19,19,0,0,0,0,0,0,0,1,0,0.01593738269470396,0.10042857544745447,simulated20,simulated,0.014009449819741109,2.0,2.0
20,20,0,1,0,1,0,0,0,0,1,0.07960820108298727,0.6489489625368711,simulated21,simulated,0.13480406224070526,3.0,3.0
21,21,0,1,1,1,0,1,1,0,1,0.07013942718820633,0.6928169446677916,simulated22,simulated,0.15679485341685,2.0,2.0
22,22,0,0,1,0,1,0,1,1,0,0.05975380495969153,0.5314711349532899,simulated23,simulated,0.11536003835007715,2.0,2.0
23,23,0,0,1,0,0,1,1,1,0,0.07802659112423005,0.4729327676058773,simulated24,simulated,0.07874308857266812,1.0,1.0
24,24,0,1,1,1,0,0,0,0,0,0.09357311475130857,0.6773740799642605,simulated25,simulated,0.1298497118670273,2.0,2.0
25,25,0,1,0,0,0,1,1,1,0,0.0770039146365431,0.5903515939899527,simulated26,simulated,0.1185760983115849,2.0,2.0
26,26,0,0,0,0,0,1,0,0,0,0.03467390379219648,0.11245986158155633,simulated27,simulated,0.0013699086087684967,2.0,2.0
27,27,0,1,0,0,1,0,1,0,0,0.06148887515535417,0.6102417491224252,simulated28,simulated,0.13982644259916144,2.0,2.0
28,28,0,0,1,1,1,1,0,0,1,0.18688805547799212,0.64519443629327,simulated29,simulated,0.03120583641968718,2.0,2.0
29,29,0,1,1,1,0,1,0,0,0,0.10708753626259272,0.6847312795382383,simulated30,simulated,0.11910735057063375,3.0,3.0
30,30,0,1,1,1,1,1,0,0,1,0.1684677156453387,0.6930327719079932,simulated31,simulated,0.0629083095835119,3.0,3.0
31,31,0,1,0,0,1,0,1,1,1,0.07650157134987001,0.6311725079285178,simulated32,simulated,0.13253062898552387,2.0,2.0
32,32,0,1,0,1,0,1,1,0,1,0.05315863957085498,0.6877170878642361,simulated33,simulated,0.1715149815247317,1.0,1.0
33,33,0,1,1,1,1,0,1,0,0,0.08980711243593009,0.6882308481379529,simulated34,simulated,0.1366545804794407,2.0,2.0
34,34,0,0,1,1,0,0,1,1,0,0.07377793563985224,0.6427368297919429,simulated35,simulated,0.13854338093655572,2.0,2.0
35,35,0,1,1,0,0,0,0,0,1,0.12708301023123125,0.5416717219349699,simulated36,simulated,0.05520600761501861,3.0,3.0
36,36,0,0,0,0,1,0,0,1,0,0.04893158915356122,0.29560979913523033,simulated37,simulated,0.04745366930580183,2.0,2.0
37,37,0,0,1,1,1,1,1,1,0,0.12503660967047026,0.6840866371443578,simulated38,simulated,0.1017666405188448,2.0,2.0
38,38,0,1,0,1,0,1,0,0,1,0.08616444961685832,0.6621946694779524,simulated39,simulated,0.1324481171616992,2.0,2.0
39,39,0,1,0,1,0,0,0,0,0,0.08133676276858526,0.6452657264444255,simulated40,simulated,0.13206889736688476,3.0,3.0
40,40,0,0,0,1,1,1,0,0,0,0.2020938871173691,0.5887220097228039,simulated41,simulated,0.0,1.0,1.0
41,41,0,0,0,0,0,0,1,0,0,0.04477547676498317,0.25801060218883426,simulated42,simulated,0.03893799621226199,2.0,2.0
42,42,0,0,0,1,1,1,0,1,1,0.17715155834206595,0.6126466161089758,simulated43,simulated,0.030905391222525013,2.0,2.0
43,43,0,0,0,0,0,0,1,1,1,0.05420919444675315,0.3212054636476892,simulated44,simulated,0.051024915464617536,1.0,1.0
44,44,0,0,0,0,0,1,1,0,1,0.04222269239289311,0.3281942853093664,simulated45,simulated,0.06457195212922726,3.0,3.0
45,45,0,1,1,0,0,0,1,0,1,0.11223916210204443,0.6139586791154068,simulated46,simulated,0.0931420091274324,3.0,3.0
46,46,0,0,0,1,0,0,0,1,1,0.11443397427063386,0.5164750096291666,simulated47,simulated,0.058833565346720774,2.0,2.0
47,47,0,1,0,0,1,1,1,1,0,0.0827570535167731,0.6434447402980682,simulated48,simulated,0.1301705548328921,3.0,3.0
48,48,0,0,1,1,0,0,0,0,1,0.11561680828405453,0.5690452145024437,simulated49,simulated,0.07508194076341795,2.0,2.0
49,49,0,1,1,0,1,1,0,0,1,0.15301118885803255,0.6285157191242979,simulated50,simulated,0.058643960778383936,2.0,2.0
50,50,0,0,0,1,0,0,1,0,0,0.1061937124009189,0.5699624566524434,simulated51,simulated,0.0843170105014535,2.0,2.0
51,51,0,1,1,0,0,0,0,0,0,0.12036658045299665,0.5344759635677819,simulated52,simulated,0.059189851107841085,2.0,2.0
52,52,0,1,1,0,0,0,0,1,1,0.13984874280148776,0.5651823448277754,simulated53,simulated,0.05097055510571218,2.0,2.0
53,53,0,1,0,1,0,1,0,0,0,0.08756613036658556,0.6591228123043467,simulated54,simulated,0.13020277239058828,2.0,2.0
54,54,0,1,0,0,0,0,1,0,1,0.06957880529258098,0.5496721499665012,simulated55,simulated,0.11211223911676783,2.0,2.0
55,55,0,0,0,0,1,1,0,0,1,0.08186305947789653,0.31650718547384793,simulated56,simulated,0.023375685785441053,3.0,3.0
