,D1_place,D2_place,D3_place,D1_goal,D2_goal,D3_goal,D1_source,D2_source,D3_source,I[U;W],I[M;W],gamma_fit,epsilon,gNID,Language,Area,r patterns,theta patterns,systematicity_score
0,0,0,1,1,1,0,1,1,0,0.059005504060711256,0.6789315083198549,2.6134163530412122,0.2030344624765163,0.9671050854227348,simulated1,simulated,1.0,1.0,2.0
1,0,1,1,1,0,0,0,0,1,0.06351648664355647,0.6798236238835981,2.6315407833233238,0.1974864665590835,0.9677789733130401,simulated2,simulated,2.0,2.0,4.0
2,0,0,1,0,0,0,1,1,0,0.10495030955216111,0.4467101342091061,2.8296053173800644,0.06145389058594785,0.688194282670643,simulated3,simulated,2.0,2.0,4.0
3,0,1,0,0,1,0,0,1,0,0.08799877041400705,0.56529926564887,2.7334954742320607,0.12422981929578134,0.9999693718587007,simulated4,simulated,1.0,1.0,2.0
4,0,0,0,0,0,1,0,0,1,0.03583426339676521,0.14863686462822168,2.533388827446085,0.023621016962649705,0.9370392754579981,simulated5,simulated,2.0,2.0,4.0
5,0,0,0,1,1,1,1,0,1,0.07184102340825371,0.6524660843451288,2.658963380198815,0.17688248488083588,0.9805216151712342,simulated6,simulated,2.0,2.0,4.0
6,0,0,0,0,1,1,1,1,0,0.07951891015893447,0.4868764474486732,2.695971877806266,0.10540741006133944,0.8652846426379397,simulated7,simulated,3.0,3.0,6.0
7,0,1,0,1,1,1,1,0,0,0.05785283365427629,0.693036745613663,2.604401002986414,0.21030693283714907,0.9959103129337115,simulated8,simulated,3.0,3.0,6.0
8,0,0,1,1,1,0,0,1,0,0.06862016968914575,0.6431473944379065,2.6497909092194045,0.17720446732313958,0.9877464767634859,simulated9,simulated,2.0,2.0,4.0
9,0,0,0,0,1,0,1,0,0,0.05527288907073724,0.4039233282392797,2.595416752659185,0.1022264650755676,0.9283670883511798,simulated10,simulated,3.0,3.0,6.0
10,0,1,1,1,0,1,0,0,1,0.07969652358206658,0.6865588872892545,2.695971877806266,0.1792967561211321,0.9346917704931348,simulated11,simulated,3.0,3.0,6.0
11,0,1,1,0,0,1,1,1,0,0.13063284139767406,0.6458461098744217,3.0008108354220266,0.09939935118591517,0.7923354713197913,simulated12,simulated,2.0,2.0,4.0
12,0,0,0,0,1,0,1,1,1,0.08368780061455727,0.46575838463682406,2.7146688429052146,0.09274946686887228,0.8191483633800821,simulated13,simulated,2.0,2.0,4.0
13,0,1,0,1,0,0,1,0,1,0.033173029948734056,0.682315198817345,2.5246495436814564,0.23775191075219398,0.9902657277309236,simulated14,simulated,2.0,2.0,4.0
14,0,1,1,1,0,0,1,0,1,0.0393515595400995,0.6929935470435735,2.542158362966211,0.23416254489445104,0.9896297541810303,simulated15,simulated,2.0,2.0,4.0
15,0,1,1,1,1,0,1,0,1,0.060597873452362006,0.6864063856624569,2.6134163530412122,0.20430228692038033,0.9876543600718766,simulated16,simulated,3.0,3.0,6.0
16,0,0,1,1,0,0,1,1,1,0.06289390035896547,0.6529031479000799,2.6224629104778705,0.18852766269057375,0.9413841847446853,simulated17,simulated,3.0,3.0,6.0
17,0,0,0,0,1,0,0,1,1,0.04817662652437926,0.3330093861527123,2.56864952906292,0.08282151401780845,0.9841456227949761,simulated18,simulated,3.0,3.0,6.0
18,0,1,1,0,0,1,0,1,0,0.1298158655454098,0.5879400279909252,3.0008108354220266,0.08091951525652215,0.8637879683433389,simulated19,simulated,3.0,3.0,6.0
