,Unnamed: 0,D1_place,D2_place,D3_place,D1_goal,D2_goal,D3_goal,D1_source,D2_source,D3_source,I[U;W],I[M;W],Language,Area,dist_to_hull,r patterns,theta patterns
0,0,0,0,1,1,1,0,1,1,0,0.05938659116682299,0.6764925586746227,simulated1,simulated,0.1460916682783282,1.0,1.0
1,1,0,1,1,1,0,0,0,0,1,0.06339202783491316,0.6794242729862672,simulated2,simulated,0.1427628839141602,2.0,2.0
2,2,0,0,1,0,0,0,1,1,0,0.10195204525782724,0.4350361674888277,simulated3,simulated,0.03517238639949394,2.0,2.0
3,3,0,1,0,0,1,0,0,1,0,0.08782241909095567,0.5603319605940844,simulated4,simulated,0.08563982277245516,1.0,1.0
4,4,0,0,0,0,0,1,0,0,1,0.03168108876273343,0.13377637233354028,simulated5,simulated,0.010391828307735076,2.0,2.0
5,5,0,0,0,1,1,1,1,0,1,0.07240156646508744,0.649404012465987,simulated6,simulated,0.1266350601234821,2.0,2.0
6,6,0,0,0,0,1,1,1,1,0,0.07636921112419681,0.4751963657708077,simulated7,simulated,0.07145509610745104,3.0,3.0
7,7,0,1,0,1,1,1,1,0,0,0.05823936636186256,0.6930051908600459,simulated8,simulated,0.15051108658264348,3.0,3.0
8,8,0,0,1,1,1,0,0,1,0,0.07043658122900731,0.6392293729734726,simulated9,simulated,0.12553223484959958,2.0,2.0
9,9,0,0,0,0,1,0,1,0,0,0.05592430918248792,0.4015199251408079,simulated10,simulated,0.06925191307291623,3.0,3.0
10,10,0,1,1,1,0,1,0,0,1,0.07940330861248945,0.6862045845230278,simulated11,simulated,0.12842828024001302,3.0,3.0
11,11,0,1,1,0,0,1,1,1,0,0.13072534541153336,0.6424662905045109,simulated12,simulated,0.06872268090929948,2.0,2.0
12,12,0,0,0,0,1,0,1,1,1,0.07626812877038787,0.4473101917877328,simulated13,simulated,0.06331946093045751,2.0,2.0
13,13,0,1,0,1,0,0,1,0,1,0.034023378669803206,0.6815951763463628,simulated14,simulated,0.17196302686434184,2.0,2.0
14,14,0,1,1,1,0,0,1,0,1,0.040269602711256784,0.6929075617864977,simulated15,simulated,0.1681084540334366,2.0,2.0
15,15,0,1,1,1,1,0,1,0,1,0.06203001941533515,0.6869812443422814,simulated16,simulated,0.1455937768804703,3.0,3.0
