,place,goal,source,real,simulated,optimal,real_sd,simulated_sd,optimal_sd,real_minus_opt_resid,real_minus_opt_resid_sq,real_minus_sim_resid,real_minus_sim_resid_sq,dist_to_hull,dist_to_hull_sq,prior_spec,mu,gamma
0,0,0.789473684,-0.789473684,0.79918405,0.75615493,0,0.22759312,0.15447036,0,0,0,-23.1743006,7.019543651,1.913789153,0.045570055,goal_place_source,0.3,2
0,0,-0.789473684,0.789473684,0.79918405,0.75615493,0,0.22759312,0.15447036,0,0,0,-23.1743006,7.019543651,1.913789377,0.045570055,goal_place_source,0.3,2
0,0,0.789473684,1.842105263,0.782472597,0.751782458,0,0.222701757,0.15379919,0,0,0,-27.29837335,7.536497959,2.012871434,0.043270366,goal_place_source,0.3,2
0,0,-0.789473684,-1.842105263,0.782472597,0.751782458,0,0.222701757,0.15379919,0,0,0,-27.29837335,7.536497959,2.012871498,0.043270366,goal_place_source,0.3,2
0,0,-0.789473684,0.789473684,0.905665442,0.836657261,0,0.243876112,0.155780045,0,0,0,-19.84227267,7.320799834,2.223350379,0.074923095,place_place_place,0.3,2
0,0,0.789473684,-0.789473684,0.905665442,0.836657261,0,0.243876112,0.155780045,0,0,0,-19.84227267,7.320799834,2.223350401,0.074923095,place_place_place,0.3,2
0,0,-0.789473684,0.789473684,0.860753761,0.781076662,0,0.21274195,0.157787902,0,0,0,-18.898969,5.825190249,2.254936168,0.050861794,place_source_goal,0.3,2
0,0,0.789473684,-0.789473684,0.860753761,0.781076662,0,0.21274195,0.157787902,0,0,0,-18.898969,5.825190249,2.254936269,0.050861794,place_source_goal,0.3,2
0,0,0.789473684,-1.315789474,0.736808839,0.71929288,0,0.208745275,0.150910573,0,0,0,-27.24275441,7.349270017,3.306466565,0.13093401,place_goal_source,0.3,2
0,0,-0.789473684,1.315789474,0.736808839,0.71929288,0,0.208745275,0.150910573,0,0,0,-27.24275441,7.349270017,3.306466568,0.13093401,place_goal_source,0.3,2
0,0,0.789473684,-0.789473684,0.83962694,0.75615493,0,0.201215761,0.15447036,0,0,0,-16.64421785,4.534755214,2.328453184,0.056767602,goal_source_place,0.3,2
0,0,-0.789473684,0.789473684,0.83962694,0.75615493,0,0.201215761,0.15447036,0,0,0,-16.64421785,4.534755214,2.328453343,0.056767602,goal_source_place,0.3,2
0,0,0.789473684,1.842105263,0.734484769,0.681253265,0,0.17050594,0.137435878,0,0,0,-18.94268391,3.257417066,2.494877263,0.059455808,source_goal_place,0.3,2
0,0,-0.789473684,-1.842105263,0.734484769,0.681253265,0,0.17050594,0.137435878,0,0,0,-18.94268391,3.257417066,2.494877821,0.059455808,source_goal_place,0.3,2
0,0,-0.789473684,-1.842105263,0.764064028,0.71393108,0,0.18600252,0.141172394,0,0,0,-22.03956033,4.487207934,2.646853709,0.064414527,source_place_goal,0.3,2
0,0,0.789473684,1.842105263,0.764064028,0.71393108,0,0.18600252,0.141172394,0,0,0,-22.03956033,4.487207934,2.646853836,0.064414527,source_place_goal,0.3,2
0,0,-0.789473684,0.789473684,0.470771886,0.51114242,0,0.161398784,0.117543228,0,0,0,-23.5531551,5.728510956,2.660024902,0.090150686,goal_place_source,0.2,2
0,0,0.789473684,-0.789473684,0.470771886,0.51114242,0,0.161398784,0.117543228,0,0,0,-23.5531551,5.728510956,2.660024986,0.090150686,goal_place_source,0.2,2
0,0,-0.789473684,1.315789474,0.384048655,0.454416566,0,0.139644723,0.11508375,0,0,0,-26.76092081,5.996561233,4.414307963,0.221224198,place_goal_source,0.2,2
0,0,0.789473684,-1.315789474,0.384048655,0.454416566,0,0.139644723,0.11508375,0,0,0,-26.76092081,5.996561233,4.414307904,0.221224198,place_goal_source,0.2,2
0,0,-0.789473684,-1.842105263,0.445342366,0.50077536,0,0.153988771,0.11648247,0,0,0,-26.99393931,6.138268188,2.790900946,0.082773556,goal_place_source,0.2,2
0,0,0.789473684,1.842105263,0.445342366,0.50077536,0,0.153988771,0.11648247,0,0,0,-26.99393931,6.138268188,2.790901091,0.082773556,goal_place_source,0.2,2
0,0,0.789473684,-0.789473684,0.519354752,0.562140242,0,0.162531179,0.120380091,0,0,0,-21.36997464,5.899214728,2.935320965,0.13349705,place_place_place,0.2,2
0,0,-0.789473684,0.789473684,0.519354752,0.562140242,0,0.162531179,0.120380091,0,0,0,-21.36997464,5.899214728,2.935320995,0.13349705,place_place_place,0.2,2
0,0,0.789473684,1.315789474,0.812457213,0.73651457,0,0.198396124,0.14423358,0,0,0,-14.12731604,4.416682568,2.940038349,0.081451161,place_source_goal,0.3,2
0,0,-0.789473684,-1.315789474,0.812457213,0.73651457,0,0.198396124,0.14423358,0,0,0,-14.12731604,4.416682568,2.940038539,0.081451161,place_source_goal,0.3,2
0,0,-1.315789474,-2.368421053,0.687118162,0.651738049,0,0.150867332,0.133557209,0,0,0,-21.15642692,2.959965759,3.114845089,0.113120163,source_place_goal,0.3,2
0,0,1.315789474,2.368421053,0.687118162,0.651738049,0,0.150867332,0.133557209,0,0,0,-21.15642692,2.959965759,3.114845194,0.113120163,source_place_goal,0.3,2
0,0,-0.789473684,-1.842105263,0.404676277,0.465189832,0,0.145270588,0.115044907,0,0,0,-25.29743818,5.727115273,3.694681261,0.137529861,place_goal_source,0.2,2
0,0,0.789473684,1.842105263,0.404676277,0.465189832,0,0.145270588,0.115044907,0,0,0,-25.29743818,5.727115273,3.694681441,0.137529861,place_goal_source,0.2,2
0,0,-0.789473684,0.789473684,0.534723034,0.54689029,0,0.155489114,0.12140607,0,0,0,-20.18509168,4.845366079,3.256426733,0.104524139,place_source_goal,0.2,2
0,0,0.789473684,-0.789473684,0.534723034,0.54689029,0,0.155489114,0.12140607,0,0,0,-20.18509168,4.845366079,3.256427391,0.104524139,place_source_goal,0.2,2
0,0,0.789473684,-0.789473684,0.501855106,0.51114242,0,0.139381483,0.117543228,0,0,0,-17.93944221,3.711903997,3.256766898,0.112957635,goal_source_place,0.2,2
0,0,-0.789473684,0.789473684,0.501855106,0.51114242,0,0.139381483,0.117543228,0,0,0,-17.93944221,3.711903997,3.256767199,0.112957635,goal_source_place,0.2,2
0,0,-0.789473684,0.789473684,-0.062538972,0.080922014,0,0.055062901,0.087884881,0,0,0,-20.82236991,3.53953379,3.298797462,0.135345422,goal_place_source,0.1,2
0,0,0.789473684,-0.789473684,-0.062538972,0.080922014,0,0.055062901,0.087884881,0,0,0,-20.82236991,3.53953379,3.298797562,0.135345422,goal_place_source,0.1,2
0,0,-0.789473684,-1.842105263,0.752023432,0.725090139,0,0.214476575,0.151179894,0,0,0,-25.23101231,6.976414843,2.703782601,0.075179083,place_goal_source,0.3,2
0,0,0.789473684,1.842105263,0.752023432,0.725090139,0,0.214476575,0.151179894,0,0,0,-25.23101231,6.976414843,2.703782411,0.075179083,place_goal_source,0.3,2
0,0,-0.789473684,1.842105263,0.275112763,0.374941562,0,0.126515764,0.120698758,0,0,0,-24.13976709,5.951758631,6.716617096,0.613158941,place_goal_source,0.2,2
0,0,0.789473684,-1.842105263,0.275112763,0.374941562,0,0.126515764,0.120698758,0,0,0,-24.13976709,5.951758631,6.71661721,0.613158941,place_goal_source,0.2,2
